gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
APOD	1.60816365463876e-11	-0.583779294546176	0.004	0.28	5.88603979234332e-07	1	1.28681429363896	1.28681429363896	1.28681429363896	1.28681429363896	1.28681429363896	1.28681429363896	NA	267	46	0.7400931017175	1.34465938846831	1.78756354275988	2.2662366553995	3.57240395426338	1.80397742327508	0.66121438601972	164
BANK1	1.48735753145948e-07	0.327239108577366	0.843	0.585	0.00544387730089485	225	0.642498766038455	1.78092548547528	2.13742353342386	2.51632773563111	3.9459342188929	2.14046914614336	0.576518487930399	267	96	0.766678684144063	1.72673450625867	2.09995469190642	2.57290026589464	3.3454120050241	2.10940020623202	0.585042492890305	164
CAST	2.7339360584738e-08	-0.330126631823113	0.558	0.768	0.001000647936762	149	0.588534308524566	1.10816950234821	1.41297624040787	1.75402832933928	3.27080349684311	1.46562609338766	0.490560724486605	267	126	0.556939694711541	1.28529841676794	1.65161723780559	2.07653033147238	2.8415345116391	1.67295675375971	0.50570732408451	164
CCDC88A	1.17301631114523e-08	-0.449027488934515	0.154	0.439	0.000429335700042266	41	0.451424792095082	1.01274777386217	1.2026211693412	1.95954169143826	3.1807010377321	1.49513573145804	0.661545438915147	267	72	0.508569185325192	1.14195994077891	1.45599685059824	1.90482672043405	2.88727619370548	1.54555819880051	0.56831762846278	164
CD84	1.83263211261948e-05	-0.27965903121495	0.097	0.287	0.670761679539855	26	0.506097420124078	0.798092368163721	1.09830808143455	1.61071914259015	2.87325333791181	1.24778055246442	0.589175142501888	267	47	0.54721824264997	0.872861897872365	1.1892661492317	1.5774843312486	2.512152484619	1.26107600404224	0.472653178792276	164
CLNK	7.18982426394381e-05	-0.280212162283	0.082	0.28	1	22	0.700323640328216	1.17701331454554	1.72163423496118	2.29221118490022	2.5631051891196	1.69869045323504	0.577388396302708	267	46	0.508569185325192	0.969615028348199	1.30448799095738	1.64110859106167	2.63172180589114	1.37027586934464	0.505349678863846	164
CTLA4	1.76660751324473e-06	-0.286729196924649	0.015	0.177	0.0646596015922705	4	1.19061860975291	1.35480392801715	1.54570014771329	1.67171676807349	1.77102248700178	1.51326034804532	0.240880770841347	267	29	0.44839871115138	1.14479150751683	1.37246780408917	1.63321559807939	2.21496021298198	1.39980610864686	0.431689388499442	164
DNAJC15	3.39998116856056e-05	-0.254877715281104	0.288	0.488	1	77	0.506962367479358	0.794882873185652	1.05529918525431	1.37411900655927	2.20796293555735	1.11449423454132	0.415768890873008	267	80	0.54721824264997	0.884918980763614	1.14167127423478	1.41134885072778	2.17409608252281	1.18233807614192	0.36649092334857	164
EBF1	4.96437668214393e-05	0.289503480880289	0.434	0.232	1	116	0.506097420124078	0.981626258895695	1.32001850115713	1.87198896691895	3.31971440488946	1.45527888569607	0.631661835689702	267	38	0.511921353203751	1.03246939557533	1.43574793558725	1.79635756285368	2.49432720301797	1.44788298203926	0.497990226169583	164
EVI2B	8.65560784875996e-06	-0.264504363255436	0.566	0.738	0.316803902872463	151	0.538550450500036	1.06626336888257	1.41801372546231	1.73718347154626	3.27752971855997	1.46737526547838	0.514716607595383	267	121	0.584077560106685	1.27238997055807	1.63114652322186	2.00578184683487	2.58248112352347	1.62383741817846	0.464946629366561	164
FLNA	2.89499444015898e-05	0.267143615262148	0.581	0.488	1	155	0.506097420124078	1.262818262929	1.56488987236393	1.98695167910084	3.00720467471623	1.63924745216475	0.551324364005933	267	80	0.511921353203751	0.965686581375585	1.22629426523082	1.54509428516395	2.35758972087986	1.2745399729965	0.401041777403888	164
GABPB1-AS1	7.11324340663232e-05	-0.273758107950245	0.464	0.671	1	124	0.556430919215394	1.08840271417274	1.48874118653737	1.87837940726609	3.14937261910123	1.54807152734138	0.579062645126211	267	110	0.508569185325192	1.11673536664832	1.59380364119858	1.96811347060261	3.25629540642423	1.60740158241515	0.635478018716086	164
GDI2	6.43798873560652e-05	-0.251723105078331	0.281	0.488	1	75	0.512645557894267	0.847717216664766	1.1872042938122	1.45945919041832	2.34142956332991	1.19683064608076	0.43707556301691	267	80	0.511921353203751	0.920795090214218	1.17646818197541	1.46792859893303	2.36056424053068	1.21135262404924	0.375974054950078	164
GLO1	3.07030575963505e-08	-0.375762512916881	0.262	0.5	0.00112376261108402	70	0.506097420124078	0.704745642049219	1.11760012886716	1.41801372546231	2.39426682179279	1.12496102473582	0.438112437939767	267	82	0.511921353203751	0.997915703778883	1.34157375840944	1.67079478311841	2.31848849519396	1.36041785614706	0.450314028378892	164
HCST	0.000232802583679515	-0.26856145311739	0.292	0.421	1	78	0.588534308524566	0.857952275012787	1.13727548232867	1.49038171451844	2.83407426502573	1.24134132667866	0.481908212680159	267	69	0.511921353203751	1.1184660819427	1.56503945243014	1.89582345617356	2.73918694271427	1.52458982470405	0.510722697079484	164
