gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
BCL2L11	1.06124892397219e-05	0.33103465092072	0.378	0.206	0.388427718663062	95	0.55624037411779	1.04588207662782	1.38255603900928	1.91923881344442	3.06182889793696	1.51222491928747	0.569426846193123	251	21	0.578586050764698	1.09396729026997	1.17592742374242	1.4249289318177	1.74591009575815	1.21413923627458	0.277423262362748	102
BIRC3	7.804193925095e-12	0.484734161008521	0.857	0.627	2.85641301852402e-07	215	0.771712088542221	1.67069561298693	2.20868396862704	2.84137969443513	3.90364795139331	2.25546249477864	0.719903771995758	251	64	0.830295213654656	1.22823463313917	1.68468590731981	2.06511463992979	3.22305441023128	1.74558644891286	0.561466514166347	102
BLNK	0.00112353557671118	-0.257699350138543	0.195	0.353	1	49	0.640794644187906	0.891526174249758	0.997591437076539	1.27091228700105	2.45885144381002	1.12520039867812	0.361152154380795	251	36	0.545321632509656	1.05046741132556	1.2336385138116	1.5139299222219	2.10406391352001	1.2982061976961	0.361401460566481	102
BOD1L1	0.000183129399822155	0.294119147656724	0.657	0.471	1	165	0.640794644187906	1.25455155777562	1.56773775677419	2.13129161173211	3.65676550346681	1.68835749854086	0.586921645376668	251	48	0.896221208920988	1.14827537803685	1.35282684213619	1.84248424014998	3.36948690545625	1.53159845909351	0.507273016831613	102
C7orf50	0.000306007496101373	0.253837191195397	0.351	0.186	1	88	0.640794644187906	0.986711560589123	1.2481761091972	1.64374624432973	2.56920606124705	1.31688263275038	0.41134516196677	251	19	0.592482729383103	1.04432816189955	1.16496206140706	1.38383610178575	1.657176509267	1.21256532690457	0.273475507590819	102
CALR	0.0010818210339388	0.256716636781224	0.618	0.471	1	155	0.642498766038455	1.31451767949604	1.73454615558024	2.03487132160011	3.17757478842262	1.70563928729298	0.515765836248027	251	48	0.545321632509656	1.15125705297188	1.49318758714356	1.8733083696868	2.52986332691766	1.5269799576376	0.477581740472282	102
CCR7	0.000439768235249221	0.302530801738845	0.57	0.441	1	143	0.787825166412276	1.41753987262448	1.89169991741654	2.55781920682738	3.72614244867033	1.95522746163625	0.704615047591144	251	45	0.545321632509656	1.23605340726104	1.64004711905691	1.94986340274285	3.38405218891788	1.61848799539649	0.553247583342689	102
CHD1	5.31558991986017e-07	0.401900457561038	0.518	0.275	0.0194555906656802	130	0.55624037411779	1.07938847187427	1.55143471114894	1.98939909754645	3.06182889793696	1.58397027244767	0.558968521775347	251	28	0.592482729383103	1.04567233391172	1.30319125693909	1.63998025858688	2.58572816102949	1.37618475198659	0.440524317709373	102
CREM	8.60312158570348e-07	0.411717889543118	0.323	0.127	0.0314882853158333	81	0.642498766038455	1.25009083721803	1.83468451394509	2.29863464792114	3.37704464007615	1.7904709894849	0.63537806525059	251	13	0.545321632509656	1.1206900455795	1.53965980337245	2.05863533509489	2.35709500583626	1.45998913145918	0.598034455175422	102
CYLD	0.00106371338833416	0.260337317007186	0.637	0.441	1	160	0.642498766038455	1.18203102005551	1.56117040771734	1.95194571121157	3.23046829086559	1.6329691195876	0.563541387957208	251	45	0.962007832266111	1.27759263606303	1.49144824386036	1.95896584202066	2.50077522546691	1.59564936891454	0.434391618453934	102
DDX21	5.0722403377499e-07	0.370946641967417	0.817	0.598	0.0185649068601984	205	0.81617406672234	1.60196005252185	2.0556596178288	2.50644480133913	3.45478051723981	2.05158257782071	0.609317113173977	251	61	0.592482729383103	1.27165064315852	1.74499937916894	2.10153943691831	3.70483181343868	1.78745938848906	0.617571330485335	102
