gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt	cluster
AASDH	0.4402078420209	-0.363211337949211	0.167	0.143	1	5	0.324825217414415	0.360526526482302	0.362548240883605	0.399845177122497	0.450308356405278	0.379610703661619	0.047603505589681	30	1	2.57367047782025	2.57367047782025	2.57367047782025	2.57367047782025	2.57367047782025	2.57367047782025	NA	7	cluster.tp01
ABCF1	0.208989960673847	0.251823478245458	0.733	0.429	1	22	0.324825217414415	0.487875298322104	0.703396428040789	1.09643924244513	1.44244257182312	0.763596541286424	0.352079616931887	30	3	0.443026497198166	0.524808598871081	0.606590700543997	0.863895889298039	1.12120107805208	0.723606091931414	0.353906261452462	7	cluster.tp01
ABHD12	0.000279202251999665	0.283996457198009	0.4	0	1	12	0.278440890978892	0.384329098594692	0.559914469666794	0.682694183484649	0.768969324372919	0.543907571775566	0.160078185580517	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	cluster.tp01
ABHD2	0.0117754063737535	0.387508574863603	0.767	0.286	1	23	0.302920596321152	0.448707414552664	0.592392387175849	0.847786763436102	1.66697972373703	0.657757475058341	0.3024346075611	30	2	0.443026497198166	0.443026497198166	0.524808598871081	0.606590700543997	0.606590700543997	0.524808598871081	0.115657357345213	7	cluster.tp01
AC011939.2	0.112062030794732	-0.329580123450069	0.033	0.429	1	1	0.307406366924456	0.307406366924456	0.307406366924456	0.307406366924456	0.307406366924456	0.307406366924456	NA	30	3	0.443026497198166	0.479989828638667	0.516953160079169	0.721821825840304	0.92669049160144	0.628890049626258	0.260538126387753	7	cluster.tp01
AC016831.5	0.00969787494280562	0.344908530352497	0.567	0.143	1	17	0.331529479111258	0.495998461898078	0.684705395675737	0.83388816417548	0.961458680993039	0.644513187909896	0.20077880934055	30	1	0.524440034455896	0.524440034455896	0.524440034455896	0.524440034455896	0.524440034455896	0.524440034455896	NA	7	cluster.tp01
AC020656.1	0.00476849033048966	0.648299180888766	0.8	0.286	1	24	0.278440890978892	0.848968359840841	1.19247253464647	1.54341876036854	2.21239340750936	1.19272090541019	0.529661523175908	30	2	0.606590700543997	0.606590700543997	0.863895889298039	1.12120107805208	1.12120107805208	0.863895889298039	0.363884487604935	7	cluster.tp01
AC025164.1	0.441417389212771	-0.287116005330716	0.1	0.143	1	3	0.365901489125129	0.434581628550237	0.503261767975345	0.541674552790297	0.58008733760525	0.483083531568574	0.108509286886667	30	1	1.95401084829981	1.95401084829981	1.95401084829981	1.95401084829981	1.95401084829981	1.95401084829981	NA	7	cluster.tp01
AC044849.1	0.140732830252686	-0.33416287607674	0.133	0.429	1	4	0.365901489125129	0.370639007127557	0.392458027956604	0.456400649379284	0.503261767975345	0.41351982825342	0.0626947002212788	30	3	0.606590700543997	0.664075552435047	0.721560404326096	0.852238888350842	0.982917372375588	0.770356159081894	0.192850227494295	7	cluster.tp01
AC103591.3	0.0299135207205725	-0.471082462143679	0.233	0.714	1	7	0.360526526482302	0.578595109403798	0.673870528216599	0.761041453838296	0.836474755864667	0.650020705292537	0.167938749045396	30	5	0.721560404326096	0.748973107876218	0.856040033235247	0.866690752200441	0.981454683015227	0.834943796130646	0.103881077669879	7	cluster.tp01
