gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
ABRACL	0.00426167496631891	-0.364667594490851	0.452	0.688	1	38	0.308352218449506	0.681648847400799	0.968602004134351	1.34319296817675	2.0242329918707	1.02358923816714	0.39710073895683	84	22	0.303922543537076	1.06976064742422	1.27605883470821	1.50553350548638	2.22471274565542	1.28553317464716	0.44660413392842	32
AC004687.1	0.00558157293199255	0.28865335337712	0.488	0.25	1	41	0.192100761350465	0.652041647010943	0.91779336175869	1.28077497890242	2.08916198167408	0.960053090821864	0.457646105372696	84	8	0.324209032807842	0.51590701184621	0.854198692154917	1.10214807729171	1.20457981295943	0.809162051044118	0.34080383779067	32
ACBD3	0.00507264517930737	0.253174030370197	0.44	0.344	1	37	0.311430497675205	0.644857298800175	0.767296363825837	1.18127492606694	2.28187968364256	0.918965344978797	0.471559853587692	84	11	0.221063209784299	0.336331424321437	0.516475432489478	0.650082988177821	1.07162570027986	0.519797561133124	0.246518647737142	32
ACLY	0.000551079267264753	0.305660187363734	0.357	0.156	1	30	0.223901125207622	0.665905902743564	0.911030487588803	1.17168291220225	1.92595008179954	0.978045971859298	0.421682818131386	84	5	0.324209032807842	0.391985015110831	0.485147511681145	0.627307695740077	1.1051886108525	0.58676757323848	0.311290757487265	32
ACTG1	4.24806583159756e-05	-0.32963353697371	0.905	0.969	1	76	0.91779336175869	1.97612766373151	2.48198180063111	2.84615916957178	4.17081344433619	2.44090139335455	0.753007675069208	84	31	1.75791088505682	2.67256525937566	3.36369259994367	3.6616746198047	4.10448420610099	3.12982800605297	0.665799274027184	32
ADAR	0.0106861906360247	0.266193036316938	0.738	0.625	1	62	0.359661433491829	0.889662799682304	1.28338409620223	1.71353768372174	3.26010191309694	1.32466127706734	0.556513868179369	84	20	0.627307695740077	0.865655567119912	1.04782846586911	1.17296365476899	1.57696549954871	1.03120118917871	0.2685746992544	32
ADGRG1	0.0256414501741209	0.314542905465692	0.5	0.219	1	42	0.574078906775751	0.947897195042191	1.33373980385394	1.59097657789351	2.28683041908609	1.31410190266442	0.443863222224244	84	7	1.07162570027986	1.21482286986174	1.44939008287489	1.78448622610665	2.11857867754937	1.51974466466299	0.416255739252188	32
ADSS	0.000157380036766795	0.360511963867068	0.5	0.219	1	42	0.177879460862455	0.673776232362732	0.90928367359377	1.18357584681356	2.28187968364256	0.93682310838623	0.429297193162447	84	7	0.221063209784299	0.372982970102232	0.702630250687765	0.912229253679725	1.1051886108525	0.65704378841264	0.342846079541689	32
AGO2	0.00193154066138833	0.264874855449319	0.333	0.188	1	28	0.154664293589064	0.65611484621446	0.926290147909132	1.32509919867369	1.92595008179954	0.972120277200794	0.444257093510903	84	6	0.348453815835032	0.383908709098468	0.527036361786056	0.702630250687765	0.773656850651493	0.543787058307478	0.168752296082648	32
AIFM1	0.0513333112700968	-0.255414132468789	0.25	0.531	1	21	0.223901125207622	0.652041647010943	0.77013561160676	1.16133209715846	2.0242329918707	0.857153276192267	0.424245845559353	84	17	0.221063209784299	0.485147511681145	0.627307695740077	1.04021528450853	2.22471274565542	0.84606055701036	0.601808812719581	32
AKAP13	0.0111982261533121	0.266494117288947	0.869	0.781	1	73	0.235104597041586	1.08325160854362	1.60542715093893	1.91442258533472	2.87167962488401	1.5395164605341	0.617375373627574	84	25	0.303922543537076	0.805140769890984	1.2246150690127	1.49694258881892	2.29675591573783	1.20780086115041	0.556837760549018	32
AKNA	0.000825899677269157	0.399313896413553	0.714	0.5	1	60	0.154664293589064	0.76748338187875	1.22851596521144	1.69889038135897	3.13191425983843	1.27986799464561	0.623300716471482	84	16	0.221063209784299	0.572891648724004	0.878037338760043	1.00950877332037	2.06944363184013	0.902751789652476	0.499442742847938	32
AKT3	0.000551653911966867	0.25271606147919	0.226	0.062	1	19	0.288580723490847	0.745534956081142	0.91779336175869	1.18605046229599	1.91245301935139	0.998651454699384	0.437194841723425	84	2	0.295103320239514	0.295103320239514	0.462460939974441	0.629818559709369	0.629818559709369	0.462460939974441	0.236679415595614	32
ANKRD36	0.0195798545609311	0.252069576156207	0.357	0.219	1	30	0.177879460862455	0.572862177595136	0.992304489929818	1.44004156305912	2.5532147160226	1.05690563157236	0.640871083605424	84	7	0.295103320239514	0.336331424321437	0.773656850651493	0.944905715315295	1.38143907613828	0.71609621804325	0.413524572947964	32
AOAH	0.00629024499933019	0.288447283447498	0.321	0.094	1	27	0.680684431548584	0.793711895063623	0.959517112708603	1.11962908729308	1.96606371511628	1.01949867454403	0.302330427637428	84	3	0.221063209784299	0.376231303017616	0.531399396250933	1.28298298585099	2.03456657545104	0.929009727162092	0.969932521238778	32
APOBEC3G	0.00367289290773908	0.333643734147449	0.738	0.562	1	62	0.25465368400888	0.969005746128266	1.26859180355251	1.56212879551226	2.84381749568593	1.28303687032752	0.543388915517443	84	18	0.303922543537076	0.672975821696166	0.924136250265167	1.13267045430356	2.41427889445034	0.968898092661337	0.481367930183748	32
APOBR	0.000294563617412883	0.308985542759081	0.274	0.094	1	23	0.311430497675205	0.67566888365093	1.07270006545619	1.51051754104026	2.01471237764184	1.10320676827394	0.477794412495699	84	3	0.362057231105995	0.465351126827285	0.568645022548575	0.63563763661817	0.702630250687765	0.544444168114112	0.171571432450976	32
ARF6	0.0153686391041109	0.281443392518281	0.786	0.656	1	66	0.25465368400888	1.04592864000244	1.37532960047907	1.59927586880802	2.58849747154415	1.35337428113701	0.503753369537954	84	21	0.303922543537076	0.672858280615564	0.999280117810177	1.40774693010508	2.3954745502413	1.0631161233377	0.594043096240244	32
ARFGAP3	0.0226417335173502	0.262054163977617	0.571	0.375	1	48	0.235104597041586	0.650050328197986	0.777324670633494	1.2579381516213	2.92235448835155	1.00738685146286	0.639733515806691	84	12	0.295103320239514	0.51091638850402	0.787315272742731	1.11892953257803	1.46428914671786	0.837156825097857	0.384707126237724	32
