gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt	cluster
ABRACL	0.00426167496631891	-0.364667594490851	0.452	0.688	1	38	0.308352218449506	0.681648847400799	0.968602004134351	1.34319296817675	2.0242329918707	1.02358923816714	0.39710073895683	84	22	0.303922543537076	1.06976064742422	1.27605883470821	1.50553350548638	2.22471274565542	1.28553317464716	0.44660413392842	32	cluster.tp01
AC004687.1	0.00558157293199255	0.28865335337712	0.488	0.25	1	41	0.192100761350465	0.652041647010943	0.91779336175869	1.28077497890242	2.08916198167408	0.960053090821864	0.457646105372696	84	8	0.324209032807842	0.51590701184621	0.854198692154917	1.10214807729171	1.20457981295943	0.809162051044118	0.34080383779067	32	cluster.tp01
ACBD3	0.00507264517930737	0.253174030370197	0.44	0.344	1	37	0.311430497675205	0.644857298800175	0.767296363825837	1.18127492606694	2.28187968364256	0.918965344978797	0.471559853587692	84	11	0.221063209784299	0.336331424321437	0.516475432489478	0.650082988177821	1.07162570027986	0.519797561133124	0.246518647737142	32	cluster.tp01
ACLY	0.000551079267264753	0.305660187363734	0.357	0.156	1	30	0.223901125207622	0.665905902743564	0.911030487588803	1.17168291220225	1.92595008179954	0.978045971859298	0.421682818131386	84	5	0.324209032807842	0.391985015110831	0.485147511681145	0.627307695740077	1.1051886108525	0.58676757323848	0.311290757487265	32	cluster.tp01
ACTG1	4.24806583159756e-05	-0.32963353697371	0.905	0.969	1	76	0.91779336175869	1.97612766373151	2.48198180063111	2.84615916957178	4.17081344433619	2.44090139335455	0.753007675069208	84	31	1.75791088505682	2.67256525937566	3.36369259994367	3.6616746198047	4.10448420610099	3.12982800605297	0.665799274027184	32	cluster.tp01
ADAR	0.0106861906360247	0.266193036316938	0.738	0.625	1	62	0.359661433491829	0.889662799682304	1.28338409620223	1.71353768372174	3.26010191309694	1.32466127706734	0.556513868179369	84	20	0.627307695740077	0.865655567119912	1.04782846586911	1.17296365476899	1.57696549954871	1.03120118917871	0.2685746992544	32	cluster.tp01
ADGRG1	0.0256414501741209	0.314542905465692	0.5	0.219	1	42	0.574078906775751	0.947897195042191	1.33373980385394	1.59097657789351	2.28683041908609	1.31410190266442	0.443863222224244	84	7	1.07162570027986	1.21482286986174	1.44939008287489	1.78448622610665	2.11857867754937	1.51974466466299	0.416255739252188	32	cluster.tp01
ADSS	0.000157380036766795	0.360511963867068	0.5	0.219	1	42	0.177879460862455	0.673776232362732	0.90928367359377	1.18357584681356	2.28187968364256	0.93682310838623	0.429297193162447	84	7	0.221063209784299	0.372982970102232	0.702630250687765	0.912229253679725	1.1051886108525	0.65704378841264	0.342846079541689	32	cluster.tp01
AGO2	0.00193154066138833	0.264874855449319	0.333	0.188	1	28	0.154664293589064	0.65611484621446	0.926290147909132	1.32509919867369	1.92595008179954	0.972120277200794	0.444257093510903	84	6	0.348453815835032	0.383908709098468	0.527036361786056	0.702630250687765	0.773656850651493	0.543787058307478	0.168752296082648	32	cluster.tp01
AIFM1	0.0513333112700968	-0.255414132468789	0.25	0.531	1	21	0.223901125207622	0.652041647010943	0.77013561160676	1.16133209715846	2.0242329918707	0.857153276192267	0.424245845559353	84	17	0.221063209784299	0.485147511681145	0.627307695740077	1.04021528450853	2.22471274565542	0.84606055701036	0.601808812719581	32	cluster.tp01
