gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
AC007952.4	0.000188597701452663	-0.457264912827097	0.361	0.683	1	167	0.359661433491829	0.696995175104044	0.984279803817619	1.36344713602585	2.46089076592917	1.0626303695584	0.45643936805408	462	28	0.431319362806374	0.846272296262018	1.26079145873766	1.63170406096725	2.48754980823225	1.31829129988647	0.598244151036726	41
AC016831.1	0.00502620586424918	-0.30295467992724	0.104	0.341	1	48	0.285154628531327	0.534312256010363	0.669666811346248	0.877003853434209	3.15526668643154	0.821521857038273	0.52675243871202	462	14	0.431319362806374	0.48283064280549	0.973067108747717	1.25285226138503	1.95896584202066	0.992685021822727	0.449751681896387	41
AC037198.1	0.024591078667609	-0.275539112443262	0.152	0.341	1	70	0.285154628531327	0.590071319449583	0.772582578874001	1.15184771954717	3.18239397470039	0.930099889999099	0.5087012151699	462	14	0.431319362806374	0.602334762552871	0.93798099310119	1.508281522225	2.44921140840519	1.11586637086505	0.644213901997225	41
AC103591.3	0.00141565583365295	-0.393419506708207	0.294	0.585	1	136	0.376062125233335	0.677312237481353	1.04741531454437	1.35460134917381	3.18865633930721	1.12915368628454	0.595260399792105	462	24	0.438798518301338	0.908673175234729	1.27307728418462	1.65312006324887	2.38605471989067	1.28142139114352	0.553699141414966	41
AC239799.2	0.00371488705870451	-0.359324847831193	0.061	0.317	1	28	0.453988923282219	0.539012737648107	0.644958390984891	0.824403042484534	1.99486664093608	0.790672043950766	0.385462953339953	462	13	0.431319362806374	0.662109959923626	1.00013764459039	1.30896438286308	2.53128203483327	1.0858622804962	0.617805221886539	41
AC245014.3	0.00542790743489932	-0.384449572124829	0.158	0.39	1	73	0.359661433491829	0.621887835705169	0.737295516301727	1.08396314014787	2.56163270669221	0.884952443994011	0.401747568404659	462	16	0.462732480522171	0.699932191476976	1.17369984845713	1.45160226292004	2.82546681544641	1.25021959834733	0.701270834534197	41
AC253572.2	0.000569273418646675	-0.563661291616012	0.223	0.537	1	103	0.285154628531327	0.683145639584524	0.939509073081897	1.28223258595751	2.24257055439926	0.999192686606928	0.419327361133028	462	22	0.538253503447596	0.833740869679407	1.25880291547338	1.96242756156089	3.52915894561694	1.50444584124716	0.883395008345014	41
ACSL1	0.000219060974521282	-0.425072272987507	0.543	0.829	1	251	0.376062125233335	0.801085140264402	1.1184660819427	1.43511273264257	3.13118090288258	1.19419786033903	0.511932681769574	462	34	0.462732480522171	0.833740869679407	1.31594572451311	1.92320108606272	3.05409646968604	1.4636262117913	0.741704186275889	41
ACTR3	9.53931446505988e-06	-0.328827721367095	0.755	0.927	0.349148448735657	349	0.493599800022231	0.974057136415192	1.28127580072705	1.57536784788413	2.80359526053181	1.31141246588959	0.435125820100579	462	38	0.818645762662845	1.30896438286308	1.6449967381046	1.91783240376942	3.18383794421082	1.61868912160464	0.479605373214031	41
ADAM28	0.0114670136914866	-0.285910132902842	0.076	0.317	1	35	0.37669282173351	0.560293955295406	0.774664629072313	1.00467688170656	3.18865633930721	0.928364415250405	0.580355226780595	462	13	0.431319362806374	0.538253503447596	0.650109668879963	1.29330230698421	2.57900230969785	0.961685889954152	0.605137700450951	41
ADPGK	0.00281169384868426	-0.26087791600805	0.537	0.805	1	248	0.292917975299874	0.743404759334188	0.988497709822421	1.2549103209178	3.39884811191223	1.0507101559692	0.431731714678832	462	33	0.431319362806374	0.645115677333784	1.04203298341281	1.47737394705554	1.95896584202066	1.08590087441847	0.466011281934343	41
AGFG1	5.70426603200588e-05	-0.414818597052642	0.591	0.829	1	273	0.359988626063126	0.729589634326049	1.00200654846777	1.42205797173309	2.58512313172323	1.09364824585416	0.440895231022922	462	34	0.439170580150377	1.03404356015692	1.25003491374387	1.92494927346326	2.79887441396808	1.44062250246681	0.590162892005345	41
AHR	0.0163001682910185	-0.257214931404985	0.658	0.805	1	304	0.364404937648049	0.879133001992926	1.30057504347178	1.71962446501083	3.53741208686911	1.34087733857003	0.544576685828935	462	33	0.431319362806374	1.05701150381637	1.41178593752097	1.99294852323313	3.65078000234837	1.55262987969996	0.747797205912954	41
AKIRIN2	3.41954968750117e-05	-0.363732376186213	0.556	0.854	1	257	0.364404937648049	0.750120919756517	1.01168841988243	1.34704139244214	2.57423016653601	1.08259937715902	0.417436071663975	462	35	0.462732480522171	0.869201691545306	1.30896438286308	1.5355497177596	2.0456270638864	1.24366368056552	0.461558100265711	41
AL133330.1	0.00390014318943551	-0.331349655500344	0.199	0.512	1	92	0.292917975299874	0.59302238720178	0.793776950377797	1.07202993735439	2.93646911854141	0.939694124481494	0.513525552447585	462	21	0.431319362806374	0.526786336825756	0.792251002712977	1.25285226138503	2.54047189509938	0.963751762088361	0.564576645608792	41
AL360012.1	0.00982297009911243	-0.3016738203975	0.123	0.341	1	57	0.359988626063126	0.62688107612544	0.707030621198177	0.840648799245796	1.77814034080982	0.767689091529002	0.270373976357422	462	14	0.462732480522171	0.631133255056278	0.773034096404317	1.10061629735482	2.65493172003202	1.02299888708256	0.595081275721798	41
ANKRD28	0.00483694430571317	-0.35436712339009	0.286	0.537	1	132	0.312037897022905	0.732298728247909	0.991915261765052	1.43330048870143	3.23124631958246	1.10658592481697	0.527028788848363	462	22	0.431319362806374	0.818645762662845	1.06240540299728	1.58032559746718	2.54235776083478	1.27215703460497	0.591036039937968	41
APOBEC3A	0.00926182153082306	0.274370389362887	0.628	0.512	1	290	0.359988626063126	0.992487409305821	1.4812840890473	1.99514105315644	3.7771865156985	1.53069019713985	0.68268855009978	462	21	0.477263590209815	0.792251002712977	0.881544925593379	1.67040064179669	2.65088404219877	1.21287769774227	0.624301444834067	41
AREG	0.000125652804403327	-0.654844006428293	0.344	0.634	1	159	0.285154628531327	0.795957321140715	1.27572901997831	1.90517029153366	3.47351804324178	1.41913296542929	0.726634828169816	462	26	0.439170580150377	1.149669167616	2.40865800035417	2.81547947862694	3.52041861151151	2.11845353449359	0.94797441457686	41
ARL4A	0.00097289865233043	-0.316038917005793	0.478	0.756	1	221	0.418332995967842	0.70068141082449	0.892035811501002	1.22754370189976	2.38347541227006	1.02434663967534	0.44996697270319	462	31	0.441733568560957	0.760576154055385	1.07631961735187	1.42064063490153	2.18990998934826	1.13069308439882	0.471378112781403	41
ARL4C	0.00278997549620844	0.319785543639829	0.755	0.585	1	349	0.462036046898906	1.25294156862801	1.76618262743841	2.20565997718964	3.75274004773124	1.75885056753732	0.649655895446407	462	24	0.457816504375314	0.948126558271752	1.28214374614029	2.15848546661351	2.65493172003202	1.47889238416829	0.674312830623915	41
ATOX1	0.000993563231146992	0.268154571516129	0.53	0.341	1	245	0.364404937648049	0.715578220777132	0.988179910912323	1.27871376872165	2.18382640423796	1.0345421534725	0.379621880277944	462	14	0.457816504375314	0.526786336825756	0.774900281753932	1.03404356015692	1.69387047869308	0.837411530994313	0.353542465847935	41
ATP11B	0.0152913064266755	-0.26706675346387	0.305	0.488	1	141	0.285154628531327	0.646454052713285	0.79859631768042	1.03750164011064	2.57423016653601	0.893941340772374	0.378690420668118	462	20	0.438798518301338	0.752511109249038	1.04552753198664	1.40801093542844	2.1648246172308	1.08991642906759	0.476555452739726	41
ATP13A3	0.00857612636114769	-0.280609848325313	0.602	0.78	1	278	0.359661433491829	0.774349402446096	1.07166012280349	1.5008577815123	3.60273176634721	1.23500458177279	0.624585818246325	462	32	0.338461177390239	0.844333710794718	1.38243816853005	1.96069670179077	2.79887441396808	1.431679129993	0.6706727793402	41
ATP1B3	0.00782434040908309	0.254128494777374	0.688	0.537	1	318	0.37669282173351	0.841924656654585	1.1380071264699	1.5559034089248	3.23920137972257	1.26644066026265	0.558979135200537	462	22	0.438798518301338	0.572222148361007	0.944478054887514	1.41178593752097	2.46478498620931	1.06117921751834	0.536008513256333	41
ATP2B1-AS1	1.94184023005679e-05	-0.344083149835044	0.797	0.927	0.710732942603086	368	0.457518106885476	1.18115618218475	1.73039785923413	2.26121764610549	4.0183698020368	1.7343834004725	0.675436197801331	462	38	0.792251002712977	1.78912544444255	2.20899124199511	2.4688915980283	3.98705736287822	2.18264912193028	0.613778752035412	41
BIRC6	0.000130543457515595	-0.345618072144425	0.435	0.805	1	201	0.312037897022905	0.644040510611641	0.840498967341928	1.09821244859881	2.28148492095396	0.944108962201517	0.408589493146164	462	33	0.439170580150377	0.645115677333784	0.810999666930657	1.29330230698421	2.08207098037005	0.984784812901154	0.449664995747812	41
CCDC88A	8.24743767541228e-05	-0.310099511828079	0.701	0.902	1	324	0.312037897022905	0.831355226262995	1.21911669448824	1.64775137153409	3.34805650427054	1.28574028111658	0.54467475949738	462	37	0.602334762552871	1.17997201729242	1.41178593752097	1.80331057949674	2.64515155711475	1.50447822677847	0.483482924694877	41
CCNH	0.0183822557713295	-0.265102585612588	0.346	0.61	1	160	0.312037897022905	0.631742299613158	0.850298031667673	1.19739192460574	3.18865633930721	0.993058693258916	0.506580769054879	462	25	0.438798518301338	0.620215135079353	0.754779092057308	1.31143523089555	2.96771072111369	1.00862175471273	0.615473655643238	41
CD36	0.000462417510132542	-0.303493329400542	0.673	0.878	1	311	0.386840701985573	1.04487101184923	1.36391855024826	1.73982597996169	3.08079114546088	1.40368774178675	0.493080786238806	462	36	0.540518748221673	1.31499367681488	1.49100346401306	1.98757196243121	2.92124591960853	1.59474733214146	0.554979392773635	41
CDKN1A	0.00240415928015782	0.303134801226362	0.695	0.537	1	321	0.376793357217177	1.07504655811793	1.56121102289977	1.9453960395958	3.46253877635	1.53045764599871	0.562358439979029	462	22	0.441733568560957	0.881544925593379	1.12226625016417	1.58124497234481	2.72548204803967	1.25299619753708	0.53269279932483	41
CDKN1C	5.7704885455981e-09	0.453184558328216	0.219	0.024	0.000211205651257436	101	0.37669282173351	1.01380953577481	2.0297925637192	2.7421819080692	3.79684018881322	1.96774624855485	0.954371807458126	462	1	1.83037659391735	1.83037659391735	1.83037659391735	1.83037659391735	1.83037659391735	1.83037659391735	NA	41
CFD	4.7898033456945e-07	0.427210815449191	0.848	0.732	0.0175311592255765	392	0.467089641917655	1.42066790215556	1.80945537729802	2.19479944710084	3.32022831912849	1.78576365667095	0.570449117442509	462	30	0.501355063236218	0.770681149939317	1.09523821050923	1.52267806957592	2.17964170677835	1.18974456993434	0.481625268741047	41
