gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt	cluster
ABCA1	6.87137538751768e-40	0.635766802623984	0.523	0.061	2.51499210558535e-35	238	0.363748228394133	0.711066690680631	1.06512242117213	1.56183099821669	2.92346442748101	1.21615254989037	0.644633137751906	455	8	0.489458598593586	0.568462519619669	0.844243011553712	1.15756157785896	1.31541077985883	0.868175449564636	0.334163860909517	131	cluster.tp01
ABHD17C	4.25507276101659e-14	0.263669793213377	0.246	0.046	1.55739918125968e-09	112	0.331562759144625	0.594259261867229	0.919620065455379	1.30654501780049	2.71597261268734	0.983969353333666	0.473907809640157	455	6	0.582188699344729	0.592880572209346	0.752147493127457	0.875538743304434	0.993075510529814	0.757996418607206	0.160107565838926	131	cluster.tp01
AC016831.1	2.50940194078084e-14	0.290265127009007	0.246	0.053	9.18466204345196e-10	112	0.34022838088135	0.556340649824552	0.847173564798678	1.4217764086576	2.99000295557837	1.0823460562714	0.630983227471679	455	7	0.514830790132856	0.580568256042033	0.623409275797992	0.759841078182127	0.847183590996992	0.666606046482309	0.127676607553557	131	cluster.tp01
ADM	5.52456435515636e-08	0.256638933963161	0.33	0.122	0.00202204579963078	150	0.281486063717081	0.56136782660598	0.956614249277764	1.34563904304701	2.76512042763226	1.01205319108761	0.486010055791862	455	16	0.398151294673874	0.633348421760014	0.864241076930291	1.29864157480113	1.50031631752831	0.952268205104101	0.360104896798798	131	cluster.tp01
AGO2	9.82594042395729e-13	0.420584812817745	0.571	0.29	3.59639245457261e-08	260	0.331562759144625	0.762013388788365	1.1446724795557	1.72706267553146	3.43350345834568	1.26985334813674	0.636439461324767	455	38	0.398151294673874	0.639988456287535	0.839139024059403	1.26049501212322	2.26391595183489	0.997171986911113	0.477077123897775	131	cluster.tp01
AGPAT4	2.52183679449972e-11	0.297969234586501	0.286	0.084	9.23017485154841e-07	130	0.34022838088135	0.612298195853136	0.944698414201508	1.43046950616801	3.37856355483282	1.11222313419041	0.635322402503628	455	11	0.497889034374172	0.608073487584617	0.754540268793794	1.00727300564181	1.45983260753833	0.855979028289353	0.312144035337601	131	cluster.tp01
ANKRD12	7.95893740546352e-07	0.285499826133126	0.651	0.42	0.029130506797737	296	0.387934778703168	0.767390528272651	1.07956888211377	1.5202511195131	3.35781769306913	1.22091661940855	0.616649877382626	455	55	0.520253504281453	0.845205758453347	1.08988899782402	1.37515516227926	1.921954887492	1.12450203935311	0.354242422641441	131	cluster.tp01
ANTXR2	1.61282413075670e-10	0.298991148725227	0.367	0.16	5.90309760098258e-06	167	0.281486063717081	0.640417632287704	0.86251554535809	1.33535031954597	3.38061801559301	1.05823569941851	0.585449427172395	455	21	0.447012800242703	0.648407111909768	0.804184317318972	0.978958111693637	1.38434752411412	0.801758121619348	0.226487627322838	131	cluster.tp01
APOBEC3A	6.23874083457177e-14	-0.435178470316583	0.719	0.916	2.28344153286162e-09	327	0.331562759144625	1.3271395244239	1.91892288786547	2.44591716904979	3.80104052661651	1.90019892474731	0.773333689204743	455	120	0.398151294673874	1.89905921600171	2.49722644188398	3.06122627293401	3.9921976163585	2.40005817709197	0.829478926453598	131	cluster.tp01
APRT	1.60846839726419e-06	-0.273679315746526	0.554	0.702	0.0588715518082667	252	0.355525840134516	0.808973991810877	1.04310500602587	1.27964980527536	2.14693417019908	1.05587542828597	0.359495400522608	455	92	0.447012800242703	1.00772347205593	1.25930169324229	1.58544790521941	2.38146752139012	1.30406940059048	0.424600186907191	131	cluster.tp01
