gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
ABI3	1.69544512866186e-07	-0.31977123465644	0.209	0.474	0.00620549871541526	312	0.622527506923193	1.03364011476862	1.16246410929267	1.37049409056432	2.88914482177887	1.23920686625902	0.312279712453181	1490	65	0.603383587808824	0.924529208323194	1.16549353808725	1.46659353165901	2.01657317612479	1.20560889807867	0.341216203890244	137
ACTR3	1.63328481016199e-12	-0.380962716741717	0.513	0.788	5.97798573367391e-08	765	0.627734915373777	1.10505353477097	1.31620919023433	1.69586673235284	2.88914482177887	1.41771075076993	0.390463788077669	1490	108	0.759347008548054	1.18053693763488	1.61245825545155	1.92617825233701	2.64084667535498	1.58573709366601	0.452554795545828	137
AL627171.2	1.64534544730726e-05	-0.2678627571499	0.304	0.526	0.602212887168929	453	0.395170302564178	1.04425519403636	1.16777741060764	1.42253553027574	3.13453819291178	1.26600430431679	0.339662383965664	1490	72	0.707030621198177	0.885620952066858	1.17257666664691	1.62690239538339	2.57928385152353	1.27000974957833	0.465564416518854	137
ARHGAP15	1.70548916226382e-05	-0.257956461277256	0.208	0.431	0.62422608828018	310	0.607807206265951	1.02370371441888	1.1387674700676	1.37235788648286	2.39517245390798	1.20692829632386	0.28901783582485	1490	59	0.652173805748157	0.84945984783939	1.01129873681236	1.37771198571861	2.29782894816441	1.15184964772544	0.391372351740588	137
ARHGAP25	1.44816647219899e-06	-0.278950343679504	0.276	0.533	0.0530043410489553	411	0.395170302564178	1.0348045199115	1.16655810912996	1.38138465842948	2.36143382682417	1.2498052610313	0.321632421933351	1490	73	0.707917591932575	0.910983781641256	1.14497404929542	1.35534842658299	2.13303872768881	1.18532194103854	0.351523919383109	137
BCL11B	5.6262408339395e-07	-0.26650826154926	0.509	0.752	0.020592604076302	759	0.494471565509494	1.12020295422625	1.38099287399707	1.76310810462626	3.62140601410661	1.46839023021121	0.44198615819342	1490	103	0.762750087142832	1.12072059203064	1.37965626104079	1.77228983123606	2.69630717369857	1.46662802086673	0.479303104798534	137
BCL2	1.3886443701339e-05	-0.271819157651185	0.155	0.372	0.50825772591271	231	0.395170302564178	1.03328864156129	1.17268308264542	1.44850400477689	2.92235448835155	1.2701866112547	0.342508179305063	1490	51	0.603383587808824	0.901297426172492	1.15855108644011	1.34941710008305	2.472485825393	1.19560272542564	0.404960162156543	137
BDP1	1.50401576768028e-05	-0.252010526391979	0.345	0.577	0.550484811128661	514	0.395170302564178	1.05438435922636	1.20810921728132	1.55200586334822	2.81274513327326	1.33033394172286	0.37348731555789	1490	79	0.728118447141316	0.926368707523926	1.21606556339817	1.61684075594473	2.27037879501515	1.27874452079026	0.394745424191922	137
BTN3A3	2.91547381388105e-06	-0.267539025894068	0.14	0.372	0.10670925706186	209	0.573841904881098	0.999215054190209	1.13927280849917	1.29081284349628	2.17237096816587	1.17520809841129	0.276438797868832	1490	51	0.428914640968954	0.835374713336681	1.01263614967657	1.28374412358126	2.04153363933547	1.0803789258128	0.311291916067272	137
CCNH	2.12397088589269e-05	-0.255560639667703	0.262	0.489	0.777394583945584	390	0.596779385110497	1.02542095727375	1.15044379421587	1.43569435112672	2.77776009383232	1.2536453057365	0.333549465704921	1490	67	0.652173805748157	0.880995648248124	1.08884194424419	1.4118211461417	2.29782894816441	1.19727246190781	0.407259787164647	137
CD2	6.9068520334138e-09	-0.317269278023005	0.613	0.803	0.000252797691274978	913	0.573841904881098	1.21198873798719	1.6609657208989	2.00898929169822	3.29387449668014	1.66225275159292	0.494311384523481	1490	110	0.71397911879888	1.48534013959206	1.85049551870579	2.22780944158697	3.17317926872446	1.88692635721784	0.570176934723594	137
CDKN2D	5.29521083246252e-07	0.255967711734313	0.594	0.482	0.0193810011678961	885	0.60609792722144	1.12601126285622	1.38010146686379	1.72880552249059	3.00781421972196	1.46068116719466	0.414088468345601	1490	66	0.428914640968954	0.864975727538744	1.12873181545962	1.41176246812679	2.18242906305262	1.17065142817061	0.366817960815239	137
CEBPB	1.8709259888401e-06	0.26484851365547	0.613	0.467	0.0684777621175364	913	0.622527506923193	1.14304237843939	1.49532954966355	1.85668621861495	3.02380801661965	1.54560806267734	0.45674319347278	1490	64	0.707917591932575	0.935560009036779	1.28394269966927	1.57060290035227	2.37842775173845	1.32830622004269	0.447486137246315	137
CEP350	1.55423523979686e-05	-0.258367838228034	0.307	0.547	0.568865640118048	457	0.60609792722144	1.0538971591619	1.20164451456635	1.50917272537899	2.37671260383926	1.30560207284524	0.339896243525626	1490	75	0.603383587808824	0.873957550929588	1.11708103740762	1.5749118174433	2.3779542534715	1.23319100723826	0.436132704219634	137
CTR9	2.36705527136116e-05	-0.26417267810098	0.184	0.394	0.866365899870896	274	0.573841904881098	1.03014685353118	1.15214517122273	1.30591521364908	2.20412833931995	1.19793749990504	0.250364409468063	1490	54	0.603383587808824	0.817937953373734	1.0192061472251	1.47511630303706	2.36856984071559	1.18100608673141	0.442250044323799	137
CX3CR1	1.46741430744948e-07	-0.335209598204957	0.238	0.504	0.00537088310669586	355	0.395170302564178	1.04181528952794	1.17903590255675	1.41388027310894	2.91023490139558	1.26285996499305	0.342218047435634	1490	69	0.652173805748157	0.927197887050753	1.21000306768098	1.48534013959206	2.27379713042398	1.27299311107412	0.411060985659026	137
DDX3Y	2.10653545878938e-05	-0.259995402402075	0.328	0.569	0.771013043271501	488	0.60609792722144	1.08402787564548	1.24840716734119	1.60283328793073	2.97841908235231	1.36492878382197	0.373883552811578	1490	78	0.707917591932575	0.87131314047882	1.16428092719462	1.62924857899404	2.69630717369857	1.28708086213189	0.480223873321984	137
DGKD	1.61272535089463e-05	-0.265617872812409	0.286	0.526	0.590273605680943	426	0.573841904881098	1.06485489624934	1.198887023364	1.50917272537899	3.29737888635614	1.31993708231614	0.383219120892353	1490	72	0.428914640968954	0.903188939648182	1.18145828830556	1.51366640653736	2.88434764329278	1.24787217939395	0.455451284816105	137
DIP2A	1.39521632738171e-15	-0.450897152172786	0.477	0.839	5.10663127984979e-11	710	0.494471565509494	1.12306371855129	1.36775962652094	1.76037827239926	3.42463311405005	1.46079615009928	0.44237742343483	1490	115	0.707030621198177	1.15114891391351	1.47174499297448	1.94199747089932	3.32710777354797	1.57056843419079	0.582253444422859	137
DUSP2	5.86920483069408e-10	0.361057603620044	0.71	0.555	2.14818766008234e-05	1058	0.622527506923193	1.46852036360912	1.94531098075116	2.44929195870847	3.93112560749483	1.9642947679215	0.633034579900186	1490	76	0.771274367458731	0.99810909380193	1.5048594784225	1.9846139726323	3.26610168370572	1.55848542589752	0.586366534097244	137
EIF4G2	2.38643245948628e-07	-0.250437831107207	0.564	0.796	0.00873458144496573	841	0.494471565509494	1.1136349016769	1.34528897859447	1.69323651705841	3.07355205239854	1.42420370435849	0.394992806145059	1490	109	0.712281598306831	1.09304345963848	1.45276782336238	1.71959217402477	2.83213836410857	1.44015579994331	0.446040059494677	137
FOS	0.000227473386202199	-0.313191631384233	0.201	0.365	1	299	0.596779385110497	1.06910865650255	1.30945770381078	1.83556917039596	4.0796798422421	1.52867534190464	0.610879960959095	1490	50	0.738434714178175	1.05341044999307	1.57816152702541	2.19438517880036	4.13898778771982	1.7086353765562	0.816227279228294	137
GBP1	7.0807610967297e-09	-0.388352682050518	0.085	0.358	0.000259162936901404	127	0.573841904881098	0.990462679775637	1.10681236150169	1.35251715721376	2.47348003512333	1.19632727574044	0.334205117724766	1490	49	0.707917591932575	0.911784539435766	1.14963232167946	1.44839279434473	2.29782894816441	1.23681590019904	0.39027996494702	137
GIMAP4	1.32401974214379e-07	-0.330423486546391	0.379	0.606	0.00484604465822049	565	0.596779385110497	1.05304573978593	1.18831353218508	1.49573242484409	2.69073828525716	1.29591621812946	0.357692730139489	1490	83	0.771274367458731	1.11766956070212	1.46167502591427	1.73333080794387	2.40933704521816	1.44471575605283	0.440033298741426	137
GIMAP5	1.15007559259381e-05	-0.26534596378671	0.095	0.292	0.420939167645262	142	0.702836048298365	1.01791149560635	1.14919037441967	1.36449673814952	2.03168215820064	1.19661577756541	0.260852583407259	1490	40	0.71397911879888	0.882953240169709	1.02933012505587	1.32913042187957	2.25814306368322	1.16104606803568	0.387991616729655	137
GIMAP7	7.79919691232677e-07	-0.271346909115764	0.536	0.745	0.0285458406188072	799	0.607883404863062	1.12869286217163	1.37765692841824	1.7614757886396	3.07433898448815	1.46374263775913	0.416056692550768	1490	102	0.707030621198177	1.09304345963848	1.56818856499918	1.95687554989607	2.72000343318402	1.55035710052998	0.504202382152016	137
GZMB	5.5423831033238e-12	0.315383529995061	0.944	0.818	2.02856763964754e-07	1406	0.573841904881098	2.19758021192543	2.66398431037565	3.06355617066382	4.20804766496951	2.59891885123149	0.645276410533509	1490	112	0.853749495668692	1.65215962116031	2.19550187349003	2.59721888466271	3.61025652194897	2.17056878884078	0.65578411190222	137
HIST1H1D	3.47209791070987e-06	-0.316668131922326	0.378	0.591	0.127082255629892	563	0.607807206265951	1.11922951403697	1.37104045557731	1.74412425595236	2.94709552721833	1.45332818578233	0.429157121492128	1490	81	0.760255424120942	1.1608048239992	1.4118798241566	1.99185462510597	2.91937299307117	1.57191788606392	0.583719595498628	137
HIST1H1E	7.24204350810674e-15	-0.427512666591527	0.518	0.825	2.65066034440215e-10	772	0.596779385110497	1.1288344473947	1.38406727481297	1.78539985500015	3.11487581519803	1.50074642894992	0.462637022995726	1490	113	0.652173805748157	1.26176392935434	1.68352865952912	2.08086471779174	2.80680525230705	1.68603831365047	0.522467273678403	137
HLA-DRB5	8.9905681164631e-11	-0.470013818122183	0.045	0.365	3.29063783630666e-06	67	0.494471565509494	0.97610928566341	1.16610159997263	1.45012262015196	2.03187411618301	1.22426547715677	0.345690377726745	1490	50	0.707917591932575	0.890678156017429	1.13434493035215	1.60275158648103	2.38616016791626	1.2641673292242	0.471122425521314	137
IDI1	5.93648817505559e-07	0.263701160962997	0.558	0.431	0.021728140369521	832	0.494471565509494	1.14508368782347	1.40667932246231	1.7425668969851	3.07355205239854	1.47351503124745	0.416742165777901	1490	59	0.603383587808824	0.931344947949095	1.09304345963848	1.44052202169867	2.01826874762161	1.20349612739012	0.36559251048196	137
IFI16	3.05156425208194e-06	-0.267194788035042	0.482	0.686	0.111690303190451	718	0.607883404863062	1.10830541787377	1.29191261117804	1.67158374836585	2.92180003288302	1.40911821490083	0.398864401142857	1490	94	0.712281598306831	1.13819053625148	1.4587934289469	1.8718867971682	2.66756327108501	1.4875407037282	0.468443585783553	137
IFITM1	1.0769627449018e-09	-0.334078769042048	0.498	0.766	3.94179134261509e-05	742	0.622527506923193	1.13567405246668	1.4239130537889	1.85350210489353	3.13305551925403	1.52351486719711	0.473833054565829	1490	105	0.71397911879888	1.28605584857797	1.63089866128181	1.90113151345103	2.84942289895549	1.58783742539804	0.470525111596587	137
IFNG	6.87674882802524e-07	-0.33368251584374	0.067	0.292	0.0251695883854552	100	0.607807206265951	1.02689108900226	1.16458278660305	1.43186257814445	2.90695778295355	1.27191476198765	0.393974317051048	1490	40	0.712281598306831	0.885668352774118	1.16215265784033	1.53536024090284	2.32401285607585	1.2597260253727	0.472580839927013	137
IGKC	5.7148348559955e-12	0.341309420411377	0.405	0.197	2.09168670564291e-07	604	0.395170302564178	1.06373679113477	1.21140914132549	1.59308081480875	3.71064972577937	1.35094774853269	0.418493169078111	1490	27	0.738434714178175	0.911953941413888	0.967486142188998	1.28004891441311	2.20365030225719	1.12433555559978	0.343581470648239	137
IKZF3	1.16750800703062e-07	-0.296609889062394	0.509	0.745	0.00427319605653276	759	0.494471565509494	1.111168607062	1.28833423253366	1.62999086290777	3.0589215345956	1.40425219882376	0.407768032955713	1490	102	0.726984600209139	1.05670528799042	1.44914106196457	1.74881273305463	3.23389652808205	1.48665221085587	0.525912245181638	137
KANSL1-AS1	1.151483066621e-06	-0.272173703349086	0.081	0.307	0.0421454317213953	121	0.596779385110497	1.03410196281105	1.14289688461987	1.2372675182925	1.9634270728463	1.17183108589263	0.249493352510961	1490	42	0.652173805748157	0.821489976431331	0.949563528331288	1.21564815364914	1.86034229705167	1.05211509707818	0.304368350459475	137
LBH	1.54934596857347e-05	-0.254709572599926	0.361	0.599	0.567076117957575	538	0.395170302564178	1.04389735703126	1.22034823075197	1.58170514142211	2.36056424053068	1.31910823228268	0.352096994077636	1490	82	0.707030621198177	0.891611070703727	1.17304527598127	1.4852520493209	2.64709879279084	1.27203083393365	0.461906509422959	137
MACF1	1.16299230505707e-07	-0.257913890863542	0.668	0.854	0.00425666813573936	995	0.753646089035713	1.18200653458968	1.55612472387222	1.89922911920985	3.16880465833313	1.59571391776508	0.473719579648308	1490	117	0.712281598306831	1.23053710915908	1.71521766563259	2.17230204133699	2.98946503475735	1.72120126007131	0.584219802991985	137
MAP3K8	5.48261562870164e-07	0.287018460232877	0.493	0.38	0.0200669214626109	734	0.596779385110497	1.15110820303951	1.55413609399454	1.97992464839771	3.58118847830093	1.61735646182562	0.53175416459981	1490	52	0.603383587808824	0.850735789258979	1.08592679998292	1.57330151133373	2.62022784104085	1.24510846363165	0.497716339243941	137
MT-ATP8	1.90039346697276e-14	-0.52297101257632	0.164	0.569	6.95563012846701e-10	244	0.494471565509494	1.02784183407033	1.17647214453523	1.41923931305694	2.29181139080484	1.24762765375416	0.303579142983249	1490	78	0.652173805748157	0.969818305867544	1.23071601329925	1.5680883526154	2.48802906944303	1.28303297627847	0.414313743998435	137
