gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
ABCA1	0.230372006682989	0.254765517149697	0.182	0	1	2	0.484010136903582	0.484010136903582	1.06227992524481	1.64054971358604	1.64054971358604	1.06227992524481	0.817796977382785	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB10	0.0601435030834575	-0.270308731615655	0	0.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.199186837159003	0.269154269838753	0.373830123993702	0.555109305743776	0.701680066018649	0.412131787791264	0.211760195635017	8
ABCE1	0.0735874127723147	0.314057384519546	0.545	0.25	1	6	0.271006845457142	0.295524981294286	0.488686579101558	1.03850271197702	1.10167162201369	0.61401321982421	0.367938898345517	11	2	0.224988747020071	0.224988747020071	0.295100545484419	0.365212343948766	0.365212343948766	0.295100545484419	0.0991530562706488	8
ABRACL	0.209142098570233	0.255243758988531	0.818	0.5	1	9	0.271006845457142	0.577144090512175	0.858082688706439	0.907663396253688	1.13517223074296	0.754833748566977	0.275317120135963	11	4	0.365212343948766	0.388187062345602	0.686185535217998	1.03297951800068	1.1047497463078	0.710583290173139	0.377321665418708	8
AC002094.4	0.21719038642633	0.264966956603236	0.182	0	1	2	0.577144090512175	0.577144090512175	1.10884690204911	1.64054971358604	1.64054971358604	1.10884690204911	0.751941327227435	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC002558.3	0.0427359430863404	-0.280292878043025	0.182	0.625	1	2	0.224062334468214	0.224062334468214	0.244812280473663	0.265562226479112	0.265562226479112	0.244812280473663	0.0293448550594153	11	5	0.224988747020071	0.339121702518502	0.411161780742438	0.558471763732684	0.61423836198215	0.429596471199169	0.158974299205342	8
AC009403.1	0.0597783474010661	-0.308761818016468	0	0.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.224988747020071	0.318075263881255	0.43769065061391	0.636501483036644	0.808783445587906	0.477288373458949	0.243644279999428	8
ACADM	0.151473314606557	-0.263644514363526	0.545	0.625	1	6	0.224062334468214	0.234252560025269	0.322276644900515	0.475195136560829	0.577144090512175	0.359201235227919	0.143396236115836	11	5	0.353557016744271	0.632143657346342	0.780033010589308	0.793509355294362	0.926521491871337	0.697152906369124	0.218545168538404	8
ACBD5	0.0267629000484983	-0.321329506406856	0.182	0.625	1	2	0.204114864745715	0.204114864745715	0.234838545612413	0.265562226479112	0.265562226479112	0.234838545612413	0.0434498461677075	11	5	0.353557016744271	0.411161780742438	0.507558224179506	0.558471763732684	0.591905028751606	0.484530762830101	0.100079840963592	8
ACLY	0.0261507128115927	-0.281829761938696	0.273	0.75	1	3	0.204114864745715	0.214088599606964	0.224062334468214	0.244812280473663	0.265562226479112	0.231246475231013	0.0313473041085436	11	6	0.199186837159003	0.224988747020071	0.382359398743355	0.558471763732684	0.591905028751606	0.389878529025012	0.16405034348965	8
ACTG1	0.241554090526385	-0.313283199024017	0.909	1	1	10	0.553461009691225	0.865134960693862	1.64132729228701	2.39455487065893	2.97214838748588	1.65839317336071	0.820141496828257	11	8	0.464219520485381	1.18240981723007	2.1110909189609	3.04740013326604	3.78046777410216	2.1158111291877	1.1591103903365	8
ACTR1A	0.0487184860732208	-0.353627015551939	0.182	0.625	1	2	0.204114864745715	0.204114864745715	0.214088599606964	0.224062334468214	0.224062334468214	0.214088599606964	0.0141049911082922	11	5	0.224988747020071	0.411161780742438	0.464219520485381	0.558471763732684	0.961209289693558	0.524010220334827	0.272971685267792	8
ADA2	0.0335982683531327	0.452340500136651	1	0.875	1	11	0.204114864745715	0.465170433023527	0.949254244742589	1.19277171509039	2.23173424468038	0.970720797799706	0.651341864208846	11	7	0.224988747020071	0.346339359631386	0.365212343948766	0.609972613165172	1.0196832225614	0.503215465589051	0.292792303571399	8
ADAM28	0.259458641955502	-0.298915814198516	0.455	0.5	1	5	0.204114864745715	0.234252560025269	0.265562226479112	0.553461009691225	0.577144090512175	0.366906950290699	0.182600161298221	11	4	0.464219520485381	0.485888872332444	0.658170834883706	1.25567317733554	1.70256290908317	0.870781024833992	0.575305096602659	8
AHNAK	0.329465396643557	0.277361265463927	1	0.75	1	11	0.224062334468214	0.435117627046278	0.795999763398564	1.70450378326292	2.60076282832196	1.12035274858253	0.923640863689181	11	6	0.411161780742438	0.558471763732684	0.848327387529701	1.35204693400533	1.97766829731368	0.999333925142256	0.599826863047997	8
AKAP1	0.0137578368399563	0.27556781270116	0.545	0	1	6	0.204114864745715	0.234252560025269	0.373100991008986	0.553461009691225	0.577144090512175	0.385862417832059	0.168444546052753	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP9	0.0181291756698006	-0.502764324508054	0.727	1	1	8	0.204114864745715	0.44955364253636	0.898720185036193	1.09107709678539	1.73794891451138	0.852595703496623	0.490078193685178	11	8	0.353557016744271	1.15880475569082	1.24794445429164	1.4484561116996	2.30018112866714	1.29551859859694	0.53645526364307	8
AL021155.5	0.0940574471849082	-0.263243560762088	0.182	0.5	1	2	0.224062334468214	0.224062334468214	0.298804389406051	0.373546444343888	0.373546444343888	0.298804389406051	0.105701227772724	11	4	0.365212343948766	0.414715932217074	0.528062274618494	0.646792547385128	0.701680066018649	0.530754239801101	0.14695355866648	8
AL118516.1	0.161852591924482	-0.28663636892167	0.182	0.375	1	2	0.234252560025269	0.234252560025269	0.320624252372916	0.406995944720564	0.406995944720564	0.320624252372916	0.12214801872316	11	3	0.591905028751606	0.700344237169756	0.808783445587906	0.867652468729622	0.926521491871337	0.775736655403616	0.169738363677169	8
AL136984.1	0.220332926201534	0.262379658810668	0.182	0	1	2	0.553461009691225	0.553461009691225	1.09700536163863	1.64054971358604	1.64054971358604	1.09700536163863	0.768687794275318	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
AL445524.1	0.123989185552195	0.323885172041973	0.364	0	1	4	0.271006845457142	0.283265913375714	0.428554278822341	1.10106664496822	1.64054971358604	0.692166279171966	0.645802490120187	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
AL592295.5	0.0973524200246127	-0.273350374072056	0	0.375	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.411161780742438	0.43769065061391	0.464219520485381	0.628864437889872	0.793509355294362	0.556296885507394	0.207137871485352	8
ALG8	0.0861982658157192	0.329297692173481	0.727	0.25	1	8	0.204114864745715	0.24990739325219	0.278454207999826	0.424492995492756	1.64054971358604	0.468796721477662	0.485377524990808	11	2	0.199186837159003	0.199186837159003	0.269154269838753	0.339121702518502	0.339121702518502	0.269154269838753	0.098948892220128	8
ANAPC2	0.126124428469378	0.268112653589667	0.273	0	1	3	0.28590157054251	0.519863158994197	0.753824747445883	0.980321972994422	1.20681919854296	0.748848505510451	0.460478980658557	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANGEL2	0.0266257719134043	-0.376320751818786	0	0.625	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0.199186837159003	0.353557016744271	0.464219520485381	0.558471763732684	0.808783445587906	0.476843716741849	0.228746281471978	8
ANKIB1	0.0236235288578552	-0.42026972152969	0.455	0.875	1	5	0.204114864745715	0.234252560025269	0.271006845457142	0.406995944720564	0.446323105580665	0.312538664105871	0.107737854259688	11	7	0.199186837159003	0.448796733125593	0.563565618062391	0.6579592140004	1.25000198739536	0.603752333838391	0.332842887493199	8
ANKRD11	0.321426852733313	-0.256285482368882	0.727	1	1	8	0.204114864745715	0.366112338061588	0.636293324044433	0.822637968342504	2.86971637625594	0.840489812737338	0.853353232449473	11	8	0.353557016744271	0.501533404747022	0.825705158761735	1.34267951992425	1.70256290908317	0.924494511586682	0.518788188361193	8
ANKRD36C	0.244168137226855	0.293278788449382	0.636	0.375	1	7	0.224062334468214	0.268284535968127	0.553461009691225	0.58020779864867	2.23173424468038	0.672320322581916	0.705965934378336	11	3	0.224988747020071	0.289272881882171	0.353557016744271	0.54823499332961	0.742912969914948	0.440486244559764	0.269682949315977	8
ANKZF1	0.176229692294493	0.277849392166269	0.364	0.125	1	4	0.28590157054251	0.290713275918398	0.370924043437476	1.04343640958335	1.64054971358604	0.667074842750875	0.653127607900541	11	1	0.199186837159003	0.199186837159003	0.199186837159003	0.199186837159003	0.199186837159003	0.199186837159003	NA	8
AP001269.4	0.330102586018873	-0.260755057062962	0.091	0.25	1	1	0.224062334468214	0.224062334468214	0.224062334468214	0.224062334468214	0.224062334468214	0.224062334468214	NA	11	2	0.224988747020071	0.224988747020071	0.890040655219223	1.55509256341837	1.55509256341837	0.890040655219223	0.940525428257346	8
APOBEC3C	0.114901909348782	0.267275382226783	0.727	0.75	1	8	0.50797529703178	0.746034471640308	0.964709705802429	1.05099700296926	1.18307297643935	0.90181632928689	0.243670280268031	11	6	0.353557016744271	0.365212343948766	0.511345642109033	0.563565618062391	0.701680066018649	0.50111772149869	0.133431923060248	8
APOL1	0.0112157801395188	0.313340502673742	0.727	0.25	1	8	0.234252560025269	0.322276644900515	0.484834013453578	0.569363833431285	0.689583000898921	0.459598068061868	0.158160495219779	11	2	0.224988747020071	0.224988747020071	0.295100545484419	0.365212343948766	0.365212343948766	0.295100545484419	0.0991530562706488	8
AQP3	0.335883290072214	0.273282431303822	0.727	0.5	1	8	0.446323105580665	0.64024846684819	1.1670758094875	1.40325280871364	2.66620087404141	1.19170976871509	0.702891274254781	11	4	0.742912969914948	0.881298096238176	1.14257473812764	1.29698561519698	1.32850497670009	1.08914185571758	0.266510750309906	8
ARFGAP3	0.0786437661900635	-0.331134211913232	0.727	1	1	8	0.28590157054251	0.616173574465359	0.827484606963078	0.92420430969952	1.11939155005079	0.767627262856152	0.266876650618528	11	8	0.353557016744271	0.594285778029105	0.923990996270171	1.25192501571637	1.7885375825743	0.960312272418734	0.479173803472071	8
ARHGAP15	0.0385900746981301	-0.332580269957235	0.364	0.75	1	4	0.204114864745715	0.214088599606964	0.229157447246741	0.26007706528389	0.28590157054251	0.237082832445427	0.0348697571599794	11	6	0.199186837159003	0.339121702518502	0.43769065061391	0.61423836198215	0.914688731277016	0.490436155694082	0.249002490727767	8
ARHGAP30	0.127490157896186	0.338110730280474	0.636	0.5	1	7	0.373546444343888	0.591983550975686	0.919044552720147	1.18775647281878	1.64054971358604	0.927517251177001	0.447956696065911	11	4	0.339121702518502	0.373830123993702	0.458048384824204	0.658170834883706	0.808783445587906	0.516000479438704	0.207064648454135	8
