gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
A1BG	0.0141466478658783	-0.818582094454632	0	0.667	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0.485676144494408	0.508780687588347	1.21939328092562	1.43089312745169	2.0089094401301	1.14550766025263	0.579419551816057	9
AACS	0.0357492872478499	-0.547854370499765	0	0.556	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0.485676144494408	0.583586646375071	0.653454205410549	0.786846282771176	1.64762556764427	0.831437769339094	0.469257485868648	9
AAGAB	0.039245347316964	-0.416939348533069	0	0.444	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.585343818303494	0.639645980029822	0.740397212263663	0.868268804392062	0.949691326012948	0.753957392210942	0.154299599707711	9
AAK1	0.471513971956487	0.255508467922729	0.5	0.222	1	3	0.629122426043516	0.662843519408377	0.696564612773238	1.2029136926831	1.70926277259295	1.01164993713657	0.605090789289378	6	2	1.09968009442894	1.09968009442894	1.1763778254211	1.25307555641326	1.25307555641326	1.1763778254211	0.108466971372359	9
AARSD1	0.234309201131064	-0.306884597835901	0	0.222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.485676144494408	0.485676144494408	1.06665085606934	1.64762556764427	1.64762556764427	1.06665085606934	0.821622316505063	9
AASDHPPT	0.186983280774121	-0.278399569738687	0	0.222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.69394814175615	0.69394814175615	0.957819077522896	1.22169001328964	1.22169001328964	0.957819077522896	0.373169856077412	9
ABCA5	0.198135499294342	-0.345392823743532	0	0.222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.786846282771176	0.786846282771176	1.21723592520772	1.64762556764427	1.64762556764427	1.21723592520772	0.608662869438671	9
ABCB8	0.309977719925437	0.383900339812032	0.333	0.111	1	2	0.629122426043516	0.629122426043516	1.16919259931823	1.70926277259295	1.70926277259295	1.16919259931823	0.763774563678294	6	1	0.585343818303494	0.585343818303494	0.585343818303494	0.585343818303494	0.585343818303494	0.585343818303494	NA	9
ABCF1	0.254050138448842	0.481658844006741	0.5	0.333	1	3	0.629122426043516	1.16919259931823	1.70926277259295	1.82112817932896	1.93299358606497	1.42379292823381	0.697237244065996	6	3	0.485676144494408	0.494249288381537	0.502822432268666	0.77407637130148	1.0453303103343	0.677942962365789	0.318282258980309	9
ABCF2	0.432042805005603	0.393634979511294	0.167	0.111	1	1	2.30755012237667	2.30755012237667	2.30755012237667	2.30755012237667	2.30755012237667	2.30755012237667	NA	6	1	0.485676144494408	0.485676144494408	0.485676144494408	0.485676144494408	0.485676144494408	0.485676144494408	NA	9
ABHD10	0.126738843559971	-0.308408302284596	0.167	0.556	1	1	0.629122426043516	0.629122426043516	0.629122426043516	0.629122426043516	0.629122426043516	0.629122426043516	NA	6	5	0.485676144494408	0.502822432268666	0.69394814175615	0.786846282771176	0.844375241236119	0.662733648505304	0.163012971560516	9
ABHD17A	0.0633722395277019	-0.513135534204523	0.167	0.667	1	1	1.01230143710117	1.01230143710117	1.01230143710117	1.01230143710117	1.01230143710117	1.01230143710117	NA	6	6	0.653454205410549	0.835845024570934	1.02366459278748	1.22169001328964	1.25307555641326	1.00189899754322	0.233052808213397	9
ABHD18	0.174328090562966	-0.399239840854491	0	0.222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1.22169001328964	1.22169001328964	1.43465779046696	1.64762556764427	1.64762556764427	1.43465779046696	0.301181918832607	9
ABHD3	0.295987825617694	0.40539995703706	0.333	0.111	1	2	1.01230143710117	1.01230143710117	1.34238144141381	1.67246144572645	1.67246144572645	1.34238144141381	0.466803618767101	6	1	0.835845024570934	0.835845024570934	0.835845024570934	0.835845024570934	0.835845024570934	0.835845024570934	NA	9
ABL2	0.450417390730004	0.324471811481239	0.167	0.111	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	1	0.502822432268666	0.502822432268666	0.502822432268666	0.502822432268666	0.502822432268666	0.502822432268666	NA	9
ABTB1	0.0457055026170791	-0.40593718259085	0	0.444	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.508780687588347	0.546183666981709	0.685216464573123	0.916088296552735	1.0453303103343	0.731135981767222	0.240162720508203	9
AC002558.3	0.173817792452926	-0.267326257404201	0	0.222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.786846282771176	0.786846282771176	0.916088296552735	1.0453303103343	1.0453303103343	0.916088296552735	0.182775808718292	9
AC004687.1	0.315668626829923	0.452684907026503	0.667	0.556	1	4	0.629122426043516	1.01026928293589	1.53193879277735	2.41737148880962	3.1622815318928	1.71382038587276	1.06148707252058	6	5	0.485676144494408	0.949691326012948	1.0453303103343	1.08523782927665	1.52374394698692	1.01793591142104	0.370499511810809	9
AC005224.2	0.015015791648839	-0.667646669018364	0	0.667	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0.485676144494408	0.502822432268666	0.720150244090862	1.21989282390028	1.64762556764427	0.882719576081558	0.460974315982127	9
AC005261.1	0.218897043608398	0.486427330164032	0.333	0	1	2	0.696564612773238	0.696564612773238	1.2029136926831	1.70926277259295	1.70926277259295	1.2029136926831	0.716085736103658	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC005332.4	0.113921839812768	-0.326807877482683	0	0.333	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.485676144494408	0.535509981398951	0.585343818303494	0.901220183432546	1.2170965485616	0.7627055037865	0.396657065334128	9
AC005534.1	0.363217467649123	0.354726990417132	0.167	0	1	1	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC005562.1	0.207688594746298	-0.253098739537023	0	0.222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.508780687588347	0.508780687588347	0.862938618074973	1.2170965485616	1.2170965485616	0.862938618074973	0.500854948516174	9
AC005674.2	0.186044671234226	0.768853892383225	0.333	0	1	2	1.67246144572645	1.67246144572645	2.11174685676061	2.55103226779478	2.55103226779478	2.11174685676061	0.62124338603716	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC005726.1	0.348496831214658	0.430691830528118	0.333	0.222	1	2	1.70926277259295	1.70926277259295	1.82112817932896	1.93299358606497	1.93299358606497	1.82112817932896	0.158201575366445	6	2	0.508780687588347	0.508780687588347	0.865235350438995	1.22169001328964	1.22169001328964	0.865235350438995	0.504103018574515	9
AC006566.1	0.363217467649123	0.354726990417132	0.167	0	1	1	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC007132.1	0.363217467649123	0.402902881827642	0.167	0	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC007381.1	0.3860599437478	0.378979353178191	0.5	0.333	1	3	0.696564612773238	1.3147790994191	1.93299358606497	1.99551643052586	2.05803927498675	1.56253249127499	0.75255191251308	6	3	0.835845024570934	0.840110132903527	0.844375241236119	1.24600040444019	1.64762556764427	1.10928194448377	0.466238762435369	9
AC007390.2	0.450417390730004	0.324471811481239	0.167	0.111	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	1	0.502822432268666	0.502822432268666	0.502822432268666	0.502822432268666	0.502822432268666	0.502822432268666	NA	9
AC007406.5	0.237358963614256	0.513004882694978	0.333	0	1	2	0.629122426043516	0.629122426043516	1.28105800605424	1.93299358606497	1.93299358606497	1.28105800605424	0.921976139044739	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC008079.1	0.363217467649123	0.42546633649662	0.167	0	1	1	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC008581.1	0.464844360447386	0.282295048349794	0.167	0.111	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	1	0.508780687588347	0.508780687588347	0.508780687588347	0.508780687588347	0.508780687588347	0.508780687588347	NA	9
AC008764.7	0.0206533172563206	-0.682517272111229	0	0.556	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0.69394814175615	0.835845024570934	1.0453303103343	1.22169001328964	1.64762556764427	1.08888781151906	0.37139249979076	9
AC008764.8	0.54993478456955	0.263253440466198	0.167	0.222	1	1	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	NA	6	2	0.485676144494408	0.485676144494408	0.535509981398951	0.585343818303494	0.585343818303494	0.535509981398951	0.0704756880154936	9
AC008982.2	0.508964151301182	0.254471039530343	0.167	0.111	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	1	0.69394814175615	0.69394814175615	0.69394814175615	0.69394814175615	0.69394814175615	0.69394814175615	NA	9
AC009133.1	0.363217467649123	0.300888299668897	0.167	0	1	1	1.39141613982826	1.39141613982826	1.39141613982826	1.39141613982826	1.39141613982826	1.39141613982826	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC009283.1	0.234126701267624	0.5450794029985	0.333	0	1	2	0.696564612773238	0.696564612773238	1.37730194387999	2.05803927498675	2.05803927498675	1.37730194387999	0.962707966064839	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC009318.1	0.451584860334256	0.32356752733126	0.167	0.111	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	1	0.508780687588347	0.508780687588347	0.508780687588347	0.508780687588347	0.508780687588347	0.508780687588347	NA	9
AC009812.1	0.363217467649123	0.42546633649662	0.167	0	1	1	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC009950.1	0.0816689631263754	-0.307007297782044	0	0.333	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.653454205410549	0.67370117358335	0.69394814175615	0.740397212263663	0.786846282771176	0.711416209979292	0.0683901427928915	9
AC009961.1	0.220223251212749	-0.31951674342502	0	0.222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.583586646375071	0.583586646375071	1.11560610700967	1.64762556764427	1.64762556764427	1.11560610700967	0.752389136675868	9
AC010168.2	0.228950594596913	0.524324199973833	0.333	0	1	2	0.696564612773238	0.696564612773238	1.3147790994191	1.93299358606497	1.93299358606497	1.3147790994191	0.874287311470103	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC010336.8	0.230760458033316	-0.309875468934847	0	0.222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.508780687588347	0.508780687588347	1.07820312761631	1.64762556764427	1.64762556764427	1.07820312761631	0.805284937407122	9
AC010618.3	0.344351078336222	0.351973236565473	0.333	0.111	1	2	0.696564612773238	0.696564612773238	1.18451302924984	1.67246144572645	1.67246144572645	1.18451302924984	0.69006326831969	6	1	0.835845024570934	0.835845024570934	0.835845024570934	0.835845024570934	0.835845024570934	0.835845024570934	NA	9
AC010642.2	0.237358963614256	0.513004882694978	0.333	0	1	2	0.629122426043516	0.629122426043516	1.28105800605424	1.93299358606497	1.93299358606497	1.28105800605424	0.921976139044739	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC011893.1	0.0887536254178725	-0.306980777412248	0	0.333	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.502822432268666	0.644834357519921	0.786846282771176	0.815610762003647	0.844375241236119	0.71134798542532	0.182864909167893	9
AC012065.4	0.363217467649123	0.42546633649662	0.167	0	1	1	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC012146.1	0.038064534125504	-0.425384832315879	0	0.444	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.653454205410549	0.67370117358335	0.740397212263663	0.869486866772127	0.952127450773079	0.771594020177738	0.132678620917649	9
AC012615.1	0.228950594596913	0.524324199973833	0.333	0	1	2	0.696564612773238	0.696564612773238	1.3147790994191	1.93299358606497	1.93299358606497	1.3147790994191	0.874287311470103	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC012615.2	0.363217467649123	0.402902881827642	0.167	0	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC016394.2	0.363217467649123	0.361630402846177	0.167	0	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC016571.1	0.363217467649123	0.402902881827642	0.167	0	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC016831.5	0.419750279042333	0.458215896487446	0.333	0.444	1	2	1.67246144572645	1.67246144572645	2.43842972420975	3.20439800269304	3.20439800269304	2.43842972420975	1.08324272777865	6	4	0.485676144494408	0.569565174952478	0.720150244090862	0.868268804392062	0.949691326012948	0.71891698967227	0.197110672091406	9
AC016949.1	0.508964151301182	0.254471039530343	0.167	0.111	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	1	0.69394814175615	0.69394814175615	0.69394814175615	0.69394814175615	0.69394814175615	0.69394814175615	NA	9
AC018645.3	0.363217467649123	0.361630402846177	0.167	0	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC020765.2	0.46201637152231	0.278901378418568	0.167	0.111	1	1	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	NA	6	1	0.485676144494408	0.485676144494408	0.485676144494408	0.485676144494408	0.485676144494408	0.485676144494408	NA	9
AC020910.5	0.0882002786877333	-0.306647476724031	0	0.333	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.508780687588347	0.647813485179761	0.786846282771176	0.811345653671055	0.835845024570934	0.710490664976819	0.176395593505147	9
AC022087.1	0.346593507087334	-0.320589508279702	0	0.111	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.23956666872002	2.23956666872002	2.23956666872002	2.23956666872002	2.23956666872002	2.23956666872002	NA	9
AC022150.4	0.363217467649123	0.361630402846177	0.167	0	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC022239.1	0.363217467649123	0.42546633649662	0.167	0	1	1	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC022509.2	0.363217467649123	0.42546633649662	0.167	0	1	1	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC022558.1	0.363217467649123	0.361630402846177	0.167	0	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC022973.3	0.363217467649123	0.402902881827642	0.167	0	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC023355.1	0.363217467649123	0.402902881827642	0.167	0	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC024075.2	0.363217467649123	0.361630402846177	0.167	0	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC026979.2	0.177526187678536	0.697551545672986	0.333	0	1	2	1.67246144572645	1.67246144572645	1.8652503603566	2.05803927498675	2.05803927498675	1.8652503603566	0.27264469774515	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC027279.1	0.363217467649123	0.42546633649662	0.167	0	1	1	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	2.05803927498675	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC044849.1	0.241315538141843	0.578496929417183	0.333	0.111	1	2	1.70926277259295	1.70926277259295	1.88365102378985	2.05803927498675	2.05803927498675	1.88365102378985	0.246622229961182	6	1	0.81117334859616	0.81117334859616	0.81117334859616	0.81117334859616	0.81117334859616	0.81117334859616	NA	9
AC068338.3	0.363217467649123	0.354726990417132	0.167	0	1	1	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC073111.4	0.100430280670364	0.842591538639368	0.5	0.111	1	3	1.70926277259295	1.82112817932896	1.93299358606497	1.99551643052586	2.05803927498675	1.90009854454822	0.176699815995389	6	1	0.786846282771176	0.786846282771176	0.786846282771176	0.786846282771176	0.786846282771176	0.786846282771176	NA	9
AC073530.1	0.363217467649123	0.354726990417132	0.167	0	1	1	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC079209.2	0.363217467649123	0.402902881827642	0.167	0	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC079781.5	0.118411391084375	-0.427736978501526	0	0.333	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.508780687588347	0.729236006800648	0.949691326012948	1.29865844682861	1.64762556764427	1.03536586041519	0.574236022547503	9
AC083843.2	0.363217467649123	0.361630402846177	0.167	0	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC087190.1	0.347318911794884	0.353886480809246	0.333	0.111	1	2	0.629122426043516	0.629122426043516	1.16919259931823	1.70926277259295	1.70926277259295	1.16919259931823	0.763774563678294	6	1	0.786846282771176	0.786846282771176	0.786846282771176	0.786846282771176	0.786846282771176	0.786846282771176	NA	9
AC090469.1	0.363217467649123	0.354726990417132	0.167	0	1	1	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC090630.1	0.363217467649123	0.361630402846177	0.167	0	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC090825.1	0.502528219580741	0.253606730998503	0.167	0.111	1	1	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	1.67246144572645	NA	6	1	0.653454205410549	0.653454205410549	0.653454205410549	0.653454205410549	0.653454205410549	0.653454205410549	NA	9
AC092338.3	0.363217467649123	0.402902881827642	0.167	0	1	1	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	1.93299358606497	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC092368.3	0.363217467649123	0.361630402846177	0.167	0	1	1	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	1.70926277259295	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
