gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt	cluster
A1BG	0.102716157133788	0.544956861535869	0.714	0.286	1	5	0.43681203130183	1.04544991659732	1.32405205224267	1.42102453972102	1.7006692286636	1.18560155370529	0.47963930794974	7	2	0.538817989869827	0.538817989869827	0.930505163839669	1.32219233780951	1.32219233780951	0.930505163839669	0.553929313635741	7	cluster.tp01
AACS	0.0952704485972452	0.340379326655139	0.429	0	1	3	0.43681203130183	0.49714667335431	0.55748131540679	0.712907031687469	0.868332747968148	0.620875364892256	0.222635658331448	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	cluster.tp01
AAMP	0.248633082142287	0.285296792839859	0.429	0.143	1	3	0.653542700732089	0.760937724350118	0.868332747968148	0.890816970496968	0.913301193025789	0.811725547242009	0.138823268799618	7	1	0.742249148332318	0.742249148332318	0.742249148332318	0.742249148332318	0.742249148332318	0.742249148332318	NA	7	cluster.tp01
AAR2	0.187700944162432	0.277176283084159	0.286	0	1	2	0.55748131540679	0.55748131540679	0.741372533674973	0.925263751943156	0.925263751943156	0.741372533674973	0.260061454876175	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	cluster.tp01
AARSD1	0.355626715833235	0.263745361285421	0.286	0.143	1	2	0.653542700732089	0.653542700732089	1.0255204063282	1.39749811192432	1.39749811192432	1.0255204063282	0.526055916154452	7	1	0.538817989869827	0.538817989869827	0.538817989869827	0.538817989869827	0.538817989869827	0.538817989869827	NA	7	cluster.tp01
AASDHPPT	0.102871350001396	0.479181639961179	0.429	0	1	3	0.525596373312411	0.7194487831691	0.913301193025789	1.1160363710975	1.31877154916922	0.919223038502474	0.396620745913848	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	cluster.tp01
ABCA2	0.32308485793912	0.291632466810668	0.714	0.143	1	5	0.43681203130183	0.525596373312411	0.653542700732089	0.913301193025789	0.925263751943156	0.690903210063055	0.222300591246666	7	1	1.54110013432138	1.54110013432138	1.54110013432138	1.54110013432138	1.54110013432138	1.54110013432138	NA	7	cluster.tp01
ABCB7	0.209361313125958	0.294635341032777	0.429	0.143	1	3	0.43681203130183	0.49714667335431	0.55748131540679	0.843511952383129	1.12954258935947	0.707945312022696	0.370065490453967	7	1	0.438466163348839	0.438466163348839	0.438466163348839	0.438466163348839	0.438466163348839	0.438466163348839	NA	7	cluster.tp01
ABCC10	0.355917683749582	-0.402831139846927	0	0.143	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.25469895692811	2.25469895692811	2.25469895692811	2.25469895692811	2.25469895692811	2.25469895692811	NA	7	cluster.tp01
ABCD1	0.0799092450079817	0.319720383948994	0.429	0	1	3	0.525596373312411	0.541538844359601	0.55748131540679	0.60551200806944	0.653542700732089	0.57887346315043	0.0666016791369418	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	cluster.tp01
ABCD4	0.375393031643162	-0.349765048760706	0.143	0.286	1	1	0.739806617596249	0.739806617596249	0.739806617596249	0.739806617596249	0.739806617596249	0.739806617596249	NA	7	2	0.742249148332318	0.742249148332318	1.43162318014033	2.12099721194834	2.12099721194834	1.43162318014033	0.974922105330707	7	cluster.tp01
ABCF3	0.355917683749582	-0.414758745250782	0	0.143	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	NA	7	cluster.tp01
ABCG1	0.222107962990351	0.298996206018135	0.286	0	1	2	0.43681203130183	0.43681203130183	0.806008382725662	1.17520473414949	1.17520473414949	0.806008382725662	0.522122487362246	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	cluster.tp01
ABI1	0.0909691978739647	0.38399113112589	0.571	0.143	1	4	0.55748131540679	0.60551200806944	0.684988416335413	0.844230255602254	0.972026379265771	0.724871131835847	0.177260632052812	7	1	0.586120426226812	0.586120426226812	0.586120426226812	0.586120426226812	0.586120426226812	0.586120426226812	NA	7	cluster.tp01
ABI2	0.426884834810389	0.265971065633496	0.429	0.286	1	3	0.525596373312411	0.541538844359601	0.55748131540679	1.21596625023998	1.87445118507317	0.98584295793079	0.769722416454095	7	2	0.538817989869827	0.538817989869827	0.640533569101073	0.742249148332318	0.742249148332318	0.640533569101073	0.143847551653463	7	cluster.tp01
ABR	0.535443633317852	-0.269816146845706	0.143	0.143	1	1	0.739806617596249	0.739806617596249	0.739806617596249	0.739806617596249	0.739806617596249	0.739806617596249	NA	7	1	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	NA	7	cluster.tp01
ABRACL	0.250708970882625	0.316688659478348	0.571	0.286	1	4	0.43681203130183	0.576623081620283	0.919772251982888	1.14915755308827	1.17520473414949	0.862890317354275	0.350355482276641	7	2	0.438466163348839	0.438466163348839	0.69583488433985	0.953203605330861	0.953203605330861	0.69583488433985	0.363974335756105	7	cluster.tp01
AC002550.2	0.355917683749582	-0.414758745250782	0	0.143	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	2.33153014356912	NA	7	cluster.tp01
AC004687.1	0.388339225803678	0.350705148371453	0.714	0.286	1	5	0.525596373312411	0.55748131540679	0.925263751943156	1.57574788905112	1.87445118507317	1.09170810295733	0.608392496683798	7	2	0.438466163348839	0.438466163348839	1.38499815345898	2.33153014356912	2.33153014356912	1.38499815345898	1.33859837763376	7	cluster.tp01
