gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
ADGRG1	1.8948529791034e-16	0.330201635149998	0.28	0.12	6.93535138881636e-12	300	0.63109208501286	1.27242513469387	1.69436933599325	2.10139031625946	3.30324908169991	1.71371215671615	0.564166922638456	1070	48	0.784054264581527	1.06893710807432	1.30469489464512	1.71991176957506	3.39735793877698	1.4800940885769	0.573075790347547	400
CCNH	4.72868435474546e-10	-0.272810191130983	0.355	0.545	1.73074576068039e-05	380	0.489678651241043	1.07990348446733	1.44864517398368	1.85236916297652	3.16989636114078	1.51333469084681	0.507084214078741	1070	218	0.651953571985338	1.13927280849917	1.49305192545604	1.89553501908368	3.41293513842105	1.57335595693317	0.572475051748495	400
CEP78	2.39874926170009e-15	0.307478449295801	0.25	0.117	8.77966217274852e-11	268	0.500714234905659	1.2092869091358	1.75462146399463	2.1479418365753	3.47200521111359	1.7488745735742	0.621164868646572	1070	47	0.722540333096734	1.03201087314092	1.28133843466505	1.66115689589035	2.83472050334679	1.37879982799532	0.465421035800052	400
DDIT4	7.18761768781836e-15	-0.323826078121443	0.45	0.67	2.6307399499184e-10	482	0.500714234905659	1.27721941973416	1.63024211263062	2.01600881959468	3.04357055530421	1.64573058823754	0.49238367334553	1070	268	0.616034548269978	1.29448820359204	1.73254054956788	2.12064652359862	3.87963577863002	1.76052274369464	0.589203628782527	400
DUSP1	5.89792774200167e-09	-0.25163585266046	0.438	0.613	0.000215870053285003	469	0.671942919968796	1.21581507902271	1.7022571258035	2.11083592239459	3.80687979840376	1.70674248919213	0.574427672926052	1070	245	0.703248020188615	1.30064217465042	1.7399468934154	2.19085005375878	3.34960260094473	1.76523455995937	0.591076915531263	400
FGFBP2	1.0044395612301e-07	0.257078295884186	0.311	0.198	0.00367634923805827	333	0.500714234905659	1.54631201209023	2.01319326695785	2.44752163191848	3.69001763477392	2.0010444374334	0.625866784015613	1070	79	0.527839214542842	1.19316788242202	1.77609937832505	2.28981574174044	3.24000528612984	1.81210244575803	0.658962731623728	400
FOS	2.05735026728888e-13	-0.405692932273062	0.316	0.502	7.53010771330403e-09	338	0.431621879657541	1.26613650066609	1.74783794456785	2.2826697832931	3.98234467711107	1.81684382512848	0.707120769686206	1070	201	0.527839214542842	1.53393035992596	2.08779874888656	2.67476567827765	4.19673862085347	2.15922337714396	0.837839823846459	400
GNLY	3.051764409007e-20	0.526632895173724	0.621	0.352	1.11697629134065e-15	665	0.489678651241043	2.31738806956212	3.24108353836065	3.87459254247183	5.78109888954571	3.0671762794034	1.10985208228675	1070	141	0.780193028846069	1.75878542312593	2.94978716620506	3.80835358374718	5.36244126092348	2.88632708758126	1.19441581194244	400
GZMB	8.97322543008559e-20	0.402896118275292	0.368	0.192	3.28429023966563e-15	394	0.612182187665952	1.52010483234034	1.92603803266791	2.35138091194474	3.80461135726599	1.957383932905	0.617417599333938	1070	77	0.527839214542842	1.14144419716619	1.51565409822438	1.93806563406736	2.68107742091688	1.56609966306152	0.507487571596345	400
GZMH	4.26288745124617e-13	0.357276032674791	0.532	0.368	1.56025943603061e-08	569	0.789987749819063	1.96632788701553	2.39607907179059	2.87342836623621	4.15809590311098	2.39650622944614	0.652211302995099	1070	147	0.527839214542842	1.55562830192653	2.14827038255578	2.61473466732483	3.85473409066839	2.11016057691063	0.697722719676349	400
HIST1H1E	3.0703213292521e-28	-0.479325773482753	0.401	0.682	1.12376830971956e-23	429	0.574791120728601	1.12601126285622	1.52924156924696	1.95193426365869	3.12149303799235	1.56434317199796	0.511286406540345	1070	273	0.669886951273271	1.49734649054737	1.82501912224963	2.25184001049852	3.53713922590398	1.85855749424376	0.563738101800532	400
IFI44L	2.35229646685628e-13	-0.353310149905659	0.084	0.26	8.60964029834067e-09	90	0.489678651241043	0.979477100282908	1.38551928196291	1.70704279903129	2.80870754634717	1.40315523036977	0.502120690133048	1070	104	0.749561269840037	1.17774643626669	1.58132711120891	1.99009537926614	3.52280379665121	1.64715619010599	0.588998242216637	400
