gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
ARHGAP15	6.9002858039878e-16	-0.303562857146367	0.209	0.443	2.52557360711758e-11	663	0.212331400995596	0.93737862209765	1.12657463680494	1.41505703496378	2.83623022199256	1.18820635056704	0.428978227121178	3169	182	0.28606626202006	0.825579226663275	1.15694190359545	1.50534254219343	2.60733178829351	1.22169789727258	0.471294082864685	411
CCL5	4.07177911238468e-12	0.296236090708615	0.705	0.55	1.49031187292392e-07	2234	0.334653640984736	2.97008678614073	3.46949820704878	3.83625309135313	4.84832850374887	3.27125389560361	0.848164277438182	3169	226	0.572222148361007	2.7154782978681	3.26313830071364	3.62916189895407	4.66267250378297	3.07775358113826	0.815757941116369	411
CCNL1	6.63839195574976e-19	-0.250942717162139	0.704	0.878	2.42971783972397e-14	2231	0.426869726708414	1.16686275760118	1.57188174847368	1.96985904919297	3.76090713740441	1.61832939752047	0.573637518425053	3169	361	0.40388801709857	1.26276296173842	1.71990569382691	2.11770982490434	3.814009999584	1.75984615310034	0.645318118782806	411
CD79A	3.5209167130524e-06	-0.262576755076516	0.157	0.265	0.128869072614431	498	0.332798878435844	1.72519403305291	2.52171617853217	2.99811039595896	4.3348914251999	2.34691559636364	0.876443075731298	3169	109	0.652173805748157	1.96290084905076	2.61492888427982	2.96838937060155	3.6799685351469	2.42095194504155	0.724857183789353	411
CEBPB	7.01059716819061e-16	0.301617926208277	0.559	0.397	2.56594866952945e-11	1770	0.218009936919753	1.19727140766849	1.66278167840063	2.14139080346154	3.73129691654231	1.72224499014313	0.608687517594076	3169	163	0.34441723705073	0.963256431061094	1.39990981749437	1.85726098925566	3.34688024480056	1.49220906679057	0.634291844850985	411
CRIP1	8.32260688232694e-20	0.2783506708335	0.821	0.723	3.04615734500049e-15	2603	0.291020635925048	1.6842132992603	2.20674420076273	2.69938526574269	4.58074685458838	2.20713868813858	0.724535918332663	3169	297	0.604699922940006	1.36797774859458	1.80077439432356	2.27684111454858	3.45836867614364	1.82577505069968	0.641999968683972	411
CST7	5.25132785680576e-13	0.295018154718947	0.638	0.482	1.92203850886948e-08	2021	0.218009936919753	2.063420415282	2.47480747135108	2.86619337374153	3.98472403277699	2.41217256536726	0.622274779694364	3169	198	0.307759181770847	1.8194345531076	2.29319607078407	2.64266303285296	3.81484731400394	2.21878765600852	0.668236521825514	411
CTSW	9.37715896073929e-13	0.276191087876594	0.636	0.513	3.43213395122019e-08	2014	0.252622827752728	1.92595008179954	2.39099220652746	2.76674872121506	4.04482131033518	2.32069354938935	0.623985813129652	3169	211	0.307759181770847	1.62030227820543	2.09401455295064	2.47813626831247	3.29071521588427	2.03293600247573	0.625286508781131	411
DDX3Y	7.18631486681183e-23	-0.378457798755546	0.326	0.625	2.6302631044018e-18	1032	0.309583868900564	1.04688753639437	1.27489645164123	1.6884254094838	3.3288356131091	1.39119383336259	0.487729718695685	3169	257	0.431319362806374	0.957534501147911	1.35952832695924	1.75432470959898	3.20666892143315	1.42153725726089	0.549345453510725	411
DUSP2	1.1789435168691e-11	0.256274754685454	0.636	0.528	4.31505116609259e-07	2017	0.36010656274034	1.36341309802558	1.94625308458679	2.5070360253224	4.42731982150695	1.96821169706702	0.733263901043831	3169	217	0.338461177390239	1.04203298341281	1.61683879892166	2.18803317369721	3.72931112856678	1.67825624333576	0.737002004887482	411
FGFBP2	1.34098794661497e-10	0.29184129934718	0.555	0.389	4.90814998340545e-06	1758	0.323173234435943	1.94556737025854	2.53766581065263	2.97806499997716	4.18106181048391	2.44466020884011	0.730905498095172	3169	160	0.652041647010943	1.89311507834839	2.46719223889578	2.92349756522545	3.67407774565442	2.3752225750057	0.734202692368122	411
FOS	1.2079361580931e-10	-0.332396853051151	0.347	0.538	4.42116713223657e-06	1099	0.291020635925048	1.21531445688914	1.94883010990704	3.0231965171466	4.81213334624177	2.13198537795382	1.04729934977834	3169	221	0.600118430687699	1.37323779581746	2.14640031678733	2.97841908235231	4.40328232861192	2.21315541485496	0.990134685605996	411
GNLY	1.63056275197293e-13	0.373773178251723	0.695	0.453	5.96802272849611e-09	2201	0.273144472533984	2.87055723992287	3.92052863051956	4.73220376737706	5.96961740871975	3.62518908179508	1.39221178657741	3169	186	0.28606626202006	3.48705987567394	4.09391196575525	4.49054985128426	5.21682372181593	3.78945245616721	1.06744085083155	411
GZMB	4.49732176306312e-29	0.479256152138518	0.58	0.358	1.64606473849873e-24	1838	0.255137082618679	1.96377809290805	2.5264177825854	2.96824556422567	4.20804766496951	2.43475649962537	0.728295006216357	3169	147	0.620572788823129	1.4907886143149	1.99871744827408	2.51307810462344	3.63225025906589	2.0419843718089	0.710209806349686	411
GZMH	1.37056399811632e-12	0.305242860117871	0.602	0.433	5.01640128950555e-08	1908	0.368039582332901	2.04614027739258	2.56545721137553	2.97411890543361	4.30109045422178	2.46824950808295	0.67631895283175	3169	178	0.508239072383625	1.89794210856257	2.47362503430731	2.81058130991648	3.82459715540709	2.33671439028094	0.652947757507588	411
GZMM	1.28096436820446e-15	0.278363364823792	0.593	0.484	4.68845768406516e-11	1880	0.381138949660622	1.53450159041278	1.92544950968523	2.28132049360371	3.61599092927982	1.88757443394095	0.534547677512167	3169	199	0.449094948320824	1.15033859327255	1.55156609912805	1.89878669131382	2.84381749568593	1.54450964997407	0.47605472737983	411
HCST	6.91365723965851e-14	0.251050341687248	0.792	0.672	2.53046768628741e-09	2509	0.218009936919753	1.76130909570463	2.34272372069199	2.80330401906349	3.92978531535938	2.25924747359847	0.702326732247957	3169	276	0.582467737632298	1.44791377262469	2.04107258278185	2.55591514641212	4.27021714206896	2.00037501527015	0.702627481606658	411
HIST1H1D	3.29185342748933e-12	-0.293404859059712	0.288	0.47	1.20485127299537e-07	913	0.255137082618679	1.06026934327462	1.298120531224	1.70611990478144	3.16721903776881	1.3912171627123	0.484915858072766	3169	193	0.441733568560957	1.0819605337785	1.40953699762249	1.95661467116005	3.31620230117622	1.52632009441385	0.585887684206479	411
HIST1H1E	7.70549899917377e-32	-0.446341665769149	0.417	0.715	2.82028968868759e-27	1321	0.334653640984736	1.05341044999307	1.29483971295302	1.73262737053688	3.38221905908324	1.40528304406815	0.507367168052646	3169	294	0.439170580150377	1.18593941591454	1.63065150405811	2.04299308164165	3.29353548759705	1.62271089754277	0.578940230634168	411
HLA-DRB5	5.8307800457433e-18	-0.413767511940386	0.122	0.384	2.13412380454251e-13	386	0.255137082618679	1.06423269577355	1.60156468109652	2.12229014716776	4.05279944898064	1.63878661975101	0.717938490674646	3169	158	0.361105595973609	0.962357643740535	1.49074511695451	2.04974233716016	3.44930517492928	1.5557541069348	0.696080542722965	411
IFITM2	6.78314892084367e-24	0.329061216474773	0.792	0.662	2.48270033651799e-19	2511	0.327616714172481	1.60481401437008	2.19014490174816	2.74180462444045	4.10466432186387	2.16231826573993	0.742974691688918	3169	272	0.502538573298011	1.25524849975929	1.72581131754536	2.24824277374356	3.66308850389983	1.75274533047696	0.652165910465125	411
IFITM3	5.13315363508803e-18	0.252135911139068	0.228	0.112	1.87878556197857e-13	724	0.35873547600898	1.07711760426072	1.3785496898782	1.87232652100318	3.81031657124287	1.50558141644557	0.615852855856826	3169	46	0.269099173425489	0.770681149939317	0.976149053723339	1.3281156014983	3.41455681328604	1.14783029962225	0.660294910489703	411
LTB	2.01704751669893e-08	-0.27841148455038	0.299	0.457	0.000738259561586975	946	0.368039582332901	1.12292378377019	1.86555351223041	2.58967126073185	4.41467377079382	1.90287932767576	0.873811935967066	3169	188	0.28606626202006	1.23438329044014	2.07058301737697	2.56147031127912	4.63855384966055	1.9715165049788	0.827672657145053	411
LYZ	3.32005112657081e-05	0.254253931153352	0.302	0.219	1	958	0.252622827752728	1.21614908388705	2.36711140448749	4.78948513546829	5.74856314175556	2.9301427200261	1.70779713688003	3169	90	0.28606626202006	0.999648984881863	1.80485929128467	4.44698830117513	5.13837703611865	2.6536322602437	1.69565011546485	411
MT-ATP8	6.18869152558692e-37	-0.50470007045639	0.19	0.574	2.26512298528007e-32	602	0.218009936919753	0.898545392849084	1.12509769072259	1.44677561718616	2.97077821408116	1.18263300552722	0.431943263430552	3169	236	0.334732789394921	0.905716240713217	1.21614931525832	1.6338950779712	2.87325333791181	1.28451646489073	0.463098447248397	411
MT-ND4L	4.40927990977345e-53	-0.506167449623653	0.506	0.866	1.61384053977618e-48	1605	0.285154628531327	1.08642906256962	1.41501769759115	1.83645580532502	3.590055355785	1.48492352654698	0.535200420458603	3169	356	0.449094948320824	1.25062122370769	1.70121879894086	2.1436746633187	3.58364047404101	1.71836434719442	0.606018648425578	411
MT-ND5	9.63399929986258e-97	-0.363958383822471	0.859	0.995	3.5261400837427e-92	2723	0.285154628531327	1.87368098981707	2.41664995944943	2.92277218715205	4.57391954572149	2.37773523835457	0.746238497074623	3169	409	0.924620958008098	2.54154902266641	2.95120964025381	3.3616485835885	4.3476871695562	2.93058033294772	0.587782981123803	411
MTRNR2L12	9.9347311945273e-179	-0.778942389605755	0.646	0.995	3.63621096450894e-174	2046	0.255137082618679	1.19293368619552	1.63288419991137	2.11360385508445	4.70130647075472	1.70179529149859	0.650640749057025	3169	409	0.766740405185958	2.17243990096763	2.59713105076028	3.05930864702771	4.61166128045193	2.61387155325045	0.649538189464005	411
MYOM2	1.08467483396673e-116	0.423193704993117	0.189	0.005	3.97001835980163e-112	599	0.254699332025041	1.34155726393669	1.84867671024007	2.27656705594199	3.32912389846286	1.84491320867703	0.616036308674113	3169	2	0.738434714178175	0.738434714178175	1.20004582770715	1.66165694123613	1.66165694123613	1.20004582770715	0.652816697294828	411
NKG7	6.71813087513429e-18	0.381526023401995	0.74	0.547	2.4589030816079e-13	2346	0.312037897022905	3.23812136513875	3.86613251063768	4.20333484593051	5.39976688286404	3.51860180977512	1.04435014401991	3169	225	0.307759181770847	2.84305585004981	3.4956310264206	3.99868587501267	4.7444507555921	3.22797985293304	1.05392680569438	411
PCM1	5.44994345967949e-16	-0.28522429012215	0.399	0.635	1.99473380567729e-11	1266	0.252622827752728	0.99511294292972	1.22042809593533	1.63056832072081	3.30746490399945	1.32148607449393	0.485365782176137	3169	261	0.338461177390239	0.970428689693086	1.32371470446765	1.62924857899404	3.2613803256436	1.35729467602903	0.501056920996394	411
