gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt	cluster
AKNA	9.96146666636441e-32	0.270856910331984	0.645	0.492	3.64599641455604e-27	2090	0.154664293589064	1.08675444221733	1.55163957481555	2.06507213935508	4.01135298037944	1.63482801053276	0.699127015726427	3242	546	0.221063209784299	1.04965501064734	1.33246613750896	1.75660110621455	3.39791647550574	1.42783394665487	0.535677502366406	1110	cluster.tp01
CD3G	7.00388047112748e-21	0.261884953932381	0.347	0.245	2.56349029123737e-16	1126	0.55624037411779	1.71934145980446	2.10627953779381	2.45284382999721	3.65722513548892	2.07298175384061	0.532188327012681	3242	272	0.555669541051082	1.38435461508364	1.7776637515058	2.09542122566019	3.15197052964288	1.77297888948592	0.503815917172758	1110	cluster.tp01
CD8A	6.66000107518706e-52	0.403966765674683	0.326	0.144	2.43762699352922e-47	1057	0.154664293589064	1.57377407130673	2.06372046693815	2.45494973187647	3.647821574553	2.00058612437542	0.616438710856166	3242	160	0.555669541051082	1.30059417317603	1.69567308183599	2.14824947455622	3.32151434820923	1.72562682938408	0.563360968553265	1110	cluster.tp01
CNOT6L	8.27889468898204e-29	0.260925053778168	0.548	0.385	3.03015824511432e-24	1777	0.235104597041586	1.04881104427285	1.45692128261703	1.91091383297815	3.88401538044124	1.51832654514449	0.59250997478808	3242	427	0.221063209784299	1.02994516193582	1.30542492571356	1.666605763376	3.18309888609377	1.37537669894968	0.484757648358505	1110	cluster.tp01
CREM	1.6249306169168e-112	0.517045687464756	0.478	0.207	5.94740855097716e-108	1549	0.177879460862455	1.11985491750751	1.60783982979275	2.12035154112842	3.9468821899809	1.65668596555883	0.650896479794175	3242	230	0.291216941803434	0.953644604235202	1.1666343705693	1.46377821376363	2.83058194907404	1.21587413529105	0.455313325761794	1110	cluster.tp01
CST7	1.00661230690516e-21	0.27278070347692	0.579	0.47	3.68430170450356e-17	1877	0.235104597041586	2.29992542136906	2.78575278783161	3.14553507892861	4.00355079527253	2.65979146713472	0.689327470845948	3242	522	0.295103320239514	1.91009641529294	2.41395816056277	2.8338828771865	3.83995800160535	2.34408029968243	0.673114541070029	1110	cluster.tp01
DENND3	2.02304299520753e-39	0.275258186331886	0.322	0.156	7.40453966675909e-35	1043	0.235104597041586	0.933005834179214	1.18625535367541	1.69450502975393	3.52806058574208	1.34350927833946	0.591949675167729	3242	173	0.221063209784299	0.894807172962505	1.11418470897299	1.39818618843915	3.00811914610579	1.17706652631844	0.444488338147756	1110	cluster.tp01
DUSP1	1.12936042212989e-42	-0.354007275464328	0.516	0.688	4.13357208103762e-38	1672	0.177676655389011	1.14057554050529	1.59589675275072	2.11524638356167	4.06065924163933	1.66503696929155	0.634601166976221	3242	764	0.221063209784299	1.43881396731404	2.00716084664399	2.48365719516722	3.87415529523344	1.99862418845564	0.693482839898733	1110	cluster.tp01
FAM133B	7.32592746984795e-31	0.256395885452882	0.705	0.549	2.68136271323905e-26	2284	0.25465368400888	1.17022455399591	1.6320561324717	2.08996871193103	3.97186300578416	1.681817580693	0.644725982878059	3242	609	0.447012800242703	1.10980291374199	1.45616404108038	1.84762540377944	3.68758845560318	1.51117184053687	0.52616420416394	1110	cluster.tp01
FAM177A1	4.44730567398191e-51	0.338196935845807	0.435	0.225	1.62775834973412e-46	1411	0.177879460862455	0.98577933407683	1.33138702977289	1.82655377489358	3.23046829086559	1.41945215064124	0.579693603827148	3242	250	0.295103320239514	0.935680221383008	1.16846518478824	1.49144824386036	3.12877542576334	1.24192320818874	0.468141515544512	1110	cluster.tp01
FOS	4.89064475930521e-43	-0.469525380124053	0.345	0.526	1.7900248883533e-38	1117	0.177879460862455	1.04592864000244	1.55098020908326	2.24861202924938	4.59681073561011	1.7474099376105	0.863238059572186	3242	584	0.324209032807842	1.47444762469072	2.3261288572865	3.06460715219665	4.30602594729745	2.31558419389238	0.905778780325369	1110	cluster.tp01
FOSL2	1.41919172402454e-54	0.372416181018673	0.565	0.34	5.19438362910223e-50	1832	0.154664293589064	1.17245224607678	1.60887872748177	2.02661797532796	3.80189082256537	1.63808960470236	0.568980517737135	3242	377	0.291216941803434	1.06187556063859	1.35888333750503	1.78843389250168	3.1563424122612	1.43548125479324	0.499827400785113	1110	cluster.tp01
GABARAPL1	3.24980158715764e-46	0.312835833261187	0.422	0.219	1.18945987891557e-41	1369	0.154664293589064	1.01554707648302	1.30337028271878	1.6848688061171	3.41198937790146	1.38093278226585	0.494822231257442	3242	243	0.383908709098468	0.980362916284577	1.20083198862238	1.47798316315601	2.55979565564398	1.25392753023443	0.401301915633897	1110	cluster.tp01
GTF3C1	7.41131965674512e-32	0.260520658099291	0.345	0.186	2.71261710756528e-27	1117	0.177879460862455	0.988285782587271	1.30611144621984	1.77711912690346	3.03354143035593	1.38986769829206	0.538202264249037	3242	206	0.221063209784299	0.970632334945838	1.1590760950447	1.6094379124341	2.92246542054394	1.26376822828999	0.479671556126541	1110	cluster.tp01
GZMB	1.97484465263404e-50	0.455631082349921	0.553	0.361	7.22812891310585e-46	1792	0.192100761350465	2.26237249393652	2.93738407703851	3.37325383216752	4.68955810171217	2.77776991159186	0.818115896447914	3242	401	0.398151294673874	1.84179578144619	2.39487046710432	2.88275428559877	4.19715797712206	2.34951980995273	0.711669695877659	1110	cluster.tp01
GZMH	1.74968941819597e-28	0.333806831928733	0.54	0.375	6.40403823953906e-24	1750	0.235104597041586	2.11600709026353	2.62529426163274	3.01676059178696	4.3130090983208	2.53370223840826	0.692761341709293	3242	416	0.406668719085966	1.85475284637749	2.40742101478281	2.8654123694741	4.0517358186181	2.34434798918052	0.694695229662081	1110	cluster.tp01
HLA-DQB1	6.66334626570932e-17	-0.275281479522754	0.346	0.444	2.43885136671227e-12	1122	0.177879460862455	1.09067573907237	1.75067806384921	2.44010063508768	4.44777333666873	1.81352450064193	0.79906807183537	3242	493	0.324209032807842	1.46864903036578	2.21738727657938	2.89343068398172	3.97745398534874	2.18353937982334	0.841107756054111	1110	cluster.tp01
IFI27	3.36841219195903e-15	0.272791206163323	0.217	0.101	1.23287254637893e-10	704	0.177879460862455	1.18649290558587	2.21429456746242	3.59864114265603	5.13800440275807	2.4448098102864	1.2915583941133	3242	112	0.362057231105995	1.63722724890787	2.93721279282067	3.58059949908781	4.6088400472349	2.64758041484967	1.09996121354071	1110	cluster.tp01
IGKC	7.31683684998768e-16	-0.272894674583454	0.594	0.721	2.67803545546399e-11	1925	0.154664293589064	1.07606474152173	1.59738766355958	2.58323515477029	8.12191058766784	2.09310094718878	1.41392628985516	3242	800	0.348453815835032	1.22985920116191	1.71565421847533	3.48712095266934	8.24104382882268	2.37240358557344	1.55829008389321	1110	cluster.tp01
INSIG1	1.56398151411614e-29	0.256727335132569	0.32	0.181	5.72432873981649e-25	1039	0.177879460862455	0.993557272978443	1.29792701888703	1.87426438311241	4.12456185254161	1.46516861206609	0.661104674205611	3242	201	0.324209032807842	0.924070752045254	1.23588018145662	1.605608935197	3.19200698369885	1.27013797115799	0.479710715809762	1110	cluster.tp01
JMJD6	1.88933089444306e-34	0.260478041020228	0.364	0.197	6.91514000675104e-30	1181	0.177879460862455	0.986067609673315	1.23019417587972	1.6398796706598	2.92713699003861	1.31657829472204	0.480991782839056	3242	219	0.221063209784299	0.942821225475686	1.12432486493893	1.41347368083788	2.57815823747726	1.19206293330361	0.441215971530413	1110	cluster.tp01
KLF2	2.62337856610133e-51	-0.292206383439692	0.746	0.881	9.60182788978746e-47	2418	0.339435492141941	1.44578252693285	2.00587462817587	2.49599420964665	4.28528808188797	1.98800851274072	0.718611754583985	3242	978	0.443026497198166	1.80649347603911	2.30267509794438	2.83076964769111	4.53803563696792	2.31548413930762	0.740396796214492	1110	cluster.tp01
KLRD1	2.86480205377501e-19	0.253453753617671	0.516	0.371	1.04854619970219e-14	1672	0.277662770392144	1.70501405240734	2.1358923467389	2.52864158516761	3.89905730118125	2.10095743177608	0.601528288091374	3242	412	0.245642889833673	1.57567221939056	2.01251458416788	2.39741281964083	3.8349228241777	2.01481903253269	0.599533028252046	1110	cluster.tp01
LTB	2.46135787704103e-27	-0.365418555913085	0.308	0.484	9.00881596575789e-23	998	0.278440890978892	1.19872515488138	2.02423320394881	2.75802219850001	4.21343529739838	2.03123916699092	0.910399018075538	3242	537	0.398151294673874	1.57180616893522	2.34311871888251	2.90369260187183	4.72593520581753	2.26089251624802	0.836566517744133	1110	cluster.tp01
METRNL	1.49156688035728e-127	0.576662273933614	0.63	0.338	5.45928393879569e-123	2044	0.177676655389011	1.45007755972288	1.95414092666938	2.39825523539972	3.73701254315474	1.92811604695785	0.653117827510406	3242	375	0.383908709098468	1.10336944638548	1.39020708243973	1.7407219425752	2.99494886282868	1.437401387089	0.460095783209029	1110	cluster.tp01
MTRNR2L12	4.6331081257374e-31	0.273252661989308	0.684	0.55	1.69576390510115e-26	2216	0.278440890978892	1.20753129386819	1.75944872370248	2.32222887960706	4.56944679833215	1.8524082449407	0.788581115428819	3242	610	0.383908709098468	1.12120107805208	1.49093730239077	1.96272552273033	3.53503856721339	1.5924862535464	0.600394861169876	1110	cluster.tp01
MYOM2	1.09431056392314e-131	0.479300559715769	0.221	0.016	4.0052860950151e-127	716	0.278440890978892	1.4801419539847	1.92716180639713	2.3888544839236	3.5264575884357	1.92189039832622	0.629738714948602	3242	18	0.666550634219405	1.0322366290898	1.18341585550662	1.68248812828844	2.1947395527603	1.34405604823579	0.445398765742113	1110	cluster.tp01
NFE2L2	2.55109456332548e-64	0.37462294412807	0.489	0.257	9.33726121122758e-60	1585	0.154664293589064	1.04700751631511	1.38772105556125	1.77596352236367	3.26857222569156	1.43675089910024	0.511239750820583	3242	285	0.221063209784299	0.92379591175871	1.15140388334172	1.48375639443779	2.80432378343655	1.21940118443413	0.446871282475741	1110	cluster.tp01
NR4A3	2.63126019376323e-66	0.292186622663353	0.225	0.055	9.63067543519279e-62	729	0.286867733392461	0.964864281724534	1.22321101789188	1.7074123012126	3.39142087940008	1.33543198206216	0.532729850499354	3242	61	0.383908709098468	0.802074951283096	1.0242754343282	1.4236114024949	2.58436744331864	1.12631504782379	0.455963953185106	1110	cluster.tp01
PDE4D	9.77620802429431e-34	0.284791363464142	0.421	0.236	3.57818989897196e-29	1366	0.154664293589064	1.02074190468261	1.38790923012715	1.78843389250168	3.78233461752105	1.43768884824611	0.544379281650039	3242	262	0.221063209784299	0.977404698748076	1.22773748296161	1.65392092078331	3.40821586220835	1.34770498057418	0.523718665729218	1110	cluster.tp01
PRF1	1.24264157427217e-25	0.304581289534891	0.551	0.408	4.54819242599356e-21	1787	0.251568654798101	1.84112851231623	2.37392566504081	2.89861448172384	4.98407020094564	2.35381211824858	0.768951445111024	3242	453	0.221063209784299	1.51787559906419	2.09131495454782	2.68679732667436	4.41511674878167	2.10771401435097	0.756969344465071	1110	cluster.tp01
PTPN7	2.59724176316746e-34	0.295034058971673	0.491	0.32	9.50616457736921e-30	1593	0.154664293589064	1.05341044999307	1.46916396212335	1.93198329352362	3.75954109316022	1.54594318276639	0.630791805629791	3242	355	0.245642889833673	0.984279815899349	1.24162561788252	1.69288022206775	3.5800011823085	1.35758809793072	0.533771049999204	1110	cluster.tp01
PTPRE	2.41014523283626e-38	0.321695613112323	0.499	0.299	8.821372566704e-34	1617	0.251568654798101	1.12671557751677	1.57574788905112	2.01940121907183	3.40915781589356	1.61653663592171	0.570489915313438	3242	332	0.391985015110831	1.05171137041329	1.36363220083981	1.89970390993528	3.59840098570169	1.48864351745234	0.541582442288347	1110	cluster.tp01
