	25_0_MSN24.KO_r1	25_0_Double.KDKO_r2	25_0_Double.KDKO_r1	25_0_MSN24.KO_r2	25_0_MSN24.KO_r3	25_0_Double.KDKO_r3	25_0_Wildtype_r1	25_0_HSF1.KD_r2	25_0_HSF1.KD_r1	25_0_Wildtype_r2	25_0_Wildtype_r3	25_0_HSF1.KD_r3
15S_rRNA	8	18	0	3	5	3	2	3	0	0	5	0
21S_rRNA	34	80	9	30	17	30	79	28	8	18	33	16
HRA1	0	1	3	0	2	1	0	0	0	0	1	4
ICR1	194	167	212	193	258	231	105	192	139	154	215	182
LSR1	9	7	9	4	9	5	51	10	3	8	9	7
NME1	10	20	4	18	10	8	23	10	3	10	15	9
PWR1	0	1	0	1	0	0	2	2	1	0	1	0
Q0010	0	0	0	0	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	0	0	0	0	0	0	0
Q0045	3	3	0	1	2	0	1	0	0	0	0	0
Q0050	3	11	2	2	5	3	11	0	1	4	3	0
Q0055	4	8	0	3	2	1	8	1	1	0	2	0
Q0060	0	0	0	0	0	0	0	0	0	0	0	0
Q0065	1	0	0	0	0	0	0	0	0	0	0	0
Q0070	0	0	0	0	0	0	0	0	0	0	0	0
Q0075	1	0	0	0	1	0	7	0	1	0	1	1
Q0080	0	0	0	0	0	0	0	0	0	0	0	0
Q0085	0	4	0	0	0	0	1	0	0	0	0	0
Q0092	0	0	0	0	0	0	0	0	0	0	0	0
Q0105	3	3	0	2	1	2	5	1	0	4	2	0
Q0110	0	0	0	0	0	0	0	0	0	0	0	0
Q0115	0	0	0	0	0	1	0	0	0	0	1	0
Q0120	0	0	0	0	0	0	1	0	0	0	0	0
Q0130	0	0	0	0	1	0	0	0	0	0	0	0
Q0140	0	0	0	0	0	0	0	0	0	0	0	0
Q0142	0	0	0	0	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0	0	0	0	0	0	0	0
Q0160	0	1	0	0	0	0	1	0	0	0	0	0
Q0182	0	0	0	0	0	0	0	0	0	0	0	0
Q0250	1	1	0	1	0	0	0	0	0	0	0	0
Q0255	0	1	0	0	0	0	0	0	0	0	0	0
Q0275	3	5	4	1	0	6	0	1	1	0	3	0
Q0297	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-1	1	0	0	0	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0	0	0	0	0
RNA170	3	0	0	1	4	1	0	1	0	0	0	0
RPM1	0	0	0	0	0	0	0	0	0	0	0	0
RPR1	20	16	13	21	13	22	53	14	7	6	18	17
RUF20	5	15	1	5	3	3	3	6	1	4	7	8
RUF21	0	0	1	0	0	1	0	0	1	0	0	1
RUF22	0	0	0	0	0	0	0	0	0	0	0	0
