	37_10_Double.KDKO_r1	37_10_MSN24.KO_r3	37_10_MSN24.KO_r1	37_10_Double.KDKO_r3	37_10_MSN24.KO_r2	37_10_Double.KDKO_r2	37_10_HSF1.KD_r1	37_10_Wildtype_r3	37_10_Wildtype_r1	37_10_HSF1.KD_r3	37_10_Wildtype_r2	37_10_HSF1.KD_r2
15S_rRNA	7	3	1	2	1	2	2	1	2	0	1	1
21S_rRNA	29	26	33	20	20	25	12	29	28	15	12	34
HRA1	2	0	1	3	2	1	1	0	1	1	3	0
ICR1	336	223	364	370	248	316	953	1173	459	644	293	818
LSR1	12	4	10	2	5	6	13	7	7	6	1	10
NME1	28	29	26	45	26	33	27	10	12	18	6	26
PWR1	4	0	1	2	1	6	3	2	4	0	0	2
Q0010	0	0	0	0	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	0	0	0	0	0	0	0
Q0045	3	1	4	1	0	0	0	3	0	1	0	0
Q0050	2	0	3	1	1	2	4	3	2	3	0	4
Q0055	4	0	5	1	2	6	1	0	2	1	1	4
Q0060	0	0	0	0	0	0	0	0	0	0	0	0
Q0065	0	1	0	0	0	0	0	1	1	0	0	0
Q0070	0	0	0	0	0	0	0	0	0	0	0	0
Q0075	2	0	2	1	0	1	2	3	1	2	0	1
Q0080	0	0	0	0	0	0	0	0	0	0	0	0
Q0085	0	0	0	0	0	0	0	0	0	0	1	0
Q0092	0	0	0	0	0	0	0	0	0	0	0	0
Q0105	1	0	1	0	1	0	0	0	2	2	1	3
Q0110	0	0	0	0	0	0	0	0	0	0	0	0
Q0115	0	3	0	0	0	0	0	0	1	0	0	0
Q0120	0	0	1	1	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	0	0	0	0	0	0	0
Q0140	0	0	0	0	0	0	0	0	0	0	0	0
Q0142	0	0	0	0	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0	0	0	0	0	0	0	0
Q0160	0	0	0	0	0	0	0	0	0	0	0	0
Q0182	0	0	0	0	0	0	0	0	0	0	0	0
Q0250	1	0	0	0	0	0	0	0	0	0	0	0
Q0255	1	1	0	0	1	0	0	0	0	0	0	0
Q0275	2	2	5	3	1	3	0	2	0	1	0	2
Q0297	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-2	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-1	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0	0	0	0	0
RNA170	3	1	1	1	3	4	0	0	0	0	1	2
RPM1	2	0	0	0	0	0	0	0	0	0	0	0
RPR1	146	45	70	88	69	97	117	4	31	87	8	91
RUF20	6	7	2	10	0	0	1	0	0	0	0	1
RUF21	0	0	0	1	0	0	0	2	1	1	0	3
RUF22	0	0	0	0	0	0	0	0	0	0	0	0
RUF23	2	0	0	0	0	1	0	0	0	1	0	0
RUF5-1	0	0	0	0	0	0	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0	0	0	0	0	0	0
SCR1	292	44	179	107	126	127	203	34	114	135	24	120
snR10	19	18	10	6	8	9	12	2	11	8	1	8
snR11	2	8	3	9	3	1	1	1	1	2	0	4
snR128	4	1	9	1	6	3	9	2	3	7	1	4
