baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,gene_id
3.22861473490737,1.63482548932952,1.34176151291184,1.21841733690936,0.223065420160396,1,Double.KDKO vs Wildtype,15S_rRNA
29.5726174971582,-0.269510989917712,0.644188679385818,-0.418372750937923,0.675674606168294,1,Double.KDKO vs Wildtype,21S_rRNA
0.961594921574451,2.5669919654194,2.21338639908253,1.15975772078632,0.246147462196182,1,Double.KDKO vs Wildtype,HRA1
190.579893978263,0.629549320438223,0.361730442284681,1.7403824695041,0.0817918816620525,1,Double.KDKO vs Wildtype,ICR1
10.8896317180028,-1.62600791381909,0.817115643101314,-1.98993609723058,0.0465979753368213,1,Double.KDKO vs Wildtype,LSR1
10.9809953476875,-0.598925011061613,0.616008475383592,-0.972267484937865,0.330917495245934,1,Double.KDKO vs Wildtype,NME1
0.689194877702137,-1.31159158497075,2.34873757110365,-0.558424066233351,0.576554842866615,1,Double.KDKO vs Wildtype,PWR1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0010
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0017
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0032
0.747749067841328,1.27069665704193,2.46490279817053,0.51551592946588,0.606192541143567,1,Double.KDKO vs Wildtype,Q0045
3.53358859128499,-0.302943512249246,0.993460861604798,-0.304937541031947,0.760413722947183,1,Double.KDKO vs Wildtype,Q0050
2.3283907495256,-0.377165266614506,1.43293001164025,-0.26321262277337,0.792386702178478,1,Double.KDKO vs Wildtype,Q0055
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0060
0.0864729725927057,0,4.40735632396697,0,1,1,Double.KDKO vs Wildtype,Q0065
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0070
1.05484596828155,-3.82694444266789,2.22784512044058,-1.71777849705776,0.0858370250943285,1,Double.KDKO vs Wildtype,Q0075
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0080
0.317830498136723,1.56222746306158,4.32598969699072,0.361126024906695,0.718005239083368,1,Double.KDKO vs Wildtype,Q0085
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0092
1.81638846692187,-1.24898845182859,1.2984589023812,-0.961900642013473,0.33609951605209,1,Double.KDKO vs Wildtype,Q0105
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0110
0.130441459991316,0.183842103364928,4.40401049070721,0.0417442473747164,0.966702580379841,1,Double.KDKO vs Wildtype,Q0115
0.0850055085578508,-0.852013598263168,4.40150637041344,-0.193573183033503,0.846510097836129,1,Double.KDKO vs Wildtype,Q0120
0.0700393735729146,0,4.40735632396697,0,1,1,Double.KDKO vs Wildtype,Q0130
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0140
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0142
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0143
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0144
0.143211755952569,0.109732579926173,4.40150593526005,0.0249306899820617,0.980110247771613,1,Double.KDKO vs Wildtype,Q0160
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0182
0.233306372162801,1.12001372457634,4.40735632395381,0.254123706424441,0.799399989324248,1,Double.KDKO vs Wildtype,Q0250
0.0582062473947181,1.11999474501816,4.40735632396697,0.254119400087459,0.799403316112734,1,Double.KDKO vs Wildtype,Q0255
1.97508561059193,2.77586945800396,1.49333770454312,1.85883571382351,0.0630504285384933,1,Double.KDKO vs Wildtype,Q0275
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,Q0297
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN18-1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN18-2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN25-1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN25-2
0.0864729725927057,0,4.40735632396697,0,1,1,Double.KDKO vs Wildtype,RDN37-1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN37-2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN5-1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN5-2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN5-3
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,RDN5-4
