baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,gene_id
3.2286148,0.0,1.3417615,1.2184173,0.22306542,1.0,Double.KDKO vs Wildtype,15S_rRNA
29.572617,0.0,0.6441887,-0.41837275,0.6756746,1.0,Double.KDKO vs Wildtype,21S_rRNA
0.96159494,0.0,2.2133863,1.1597577,0.24614747,1.0,Double.KDKO vs Wildtype,HRA1
190.5799,0.0,0.36173046,1.7403824,0.081791885,1.0,Double.KDKO vs Wildtype,ICR1
10.889631,-1.6260079,0.81711566,-1.9899361,0.046597976,1.0,Double.KDKO vs Wildtype,LSR1
10.980995,0.0,0.61600846,-0.9722675,0.3309175,1.0,Double.KDKO vs Wildtype,NME1
0.68919486,0.0,2.3487375,-0.55842406,0.57655483,1.0,Double.KDKO vs Wildtype,PWR1
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0010
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0017
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0032
0.7477491,0.0,2.4649029,0.5155159,0.6061925,1.0,Double.KDKO vs Wildtype,Q0045
3.5335886,0.0,0.99346083,-0.30493754,0.7604137,1.0,Double.KDKO vs Wildtype,Q0050
2.3283908,0.0,1.43293,-0.26321262,0.7923867,1.0,Double.KDKO vs Wildtype,Q0055
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0060
0.08647297,0.0,4.4073563,0.0,1.0,1.0,Double.KDKO vs Wildtype,Q0065
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0070
1.0548459,0.0,2.2278452,-1.7177784,0.08583702,1.0,Double.KDKO vs Wildtype,Q0075
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0080
0.3178305,0.0,4.3259897,0.36112604,0.71800524,1.0,Double.KDKO vs Wildtype,Q0085
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0092
1.8163885,0.0,1.2984589,-0.96190065,0.3360995,1.0,Double.KDKO vs Wildtype,Q0105
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0110
0.13044146,0.0,4.4040103,0.041744247,0.9667026,1.0,Double.KDKO vs Wildtype,Q0115
0.08500551,0.0,4.4015064,-0.19357318,0.8465101,1.0,Double.KDKO vs Wildtype,Q0120
0.07003938,0.0,4.4073563,0.0,1.0,1.0,Double.KDKO vs Wildtype,Q0130
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0140
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0142
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0143
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0144
0.14321175,0.0,4.401506,0.02493069,0.9801102,1.0,Double.KDKO vs Wildtype,Q0160
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0182
0.23330638,0.0,4.4073563,0.25412372,0.7994,1.0,Double.KDKO vs Wildtype,Q0250
0.05820625,0.0,4.4073563,0.2541194,0.7994033,1.0,Double.KDKO vs Wildtype,Q0255
1.9750856,0.0,1.4933378,1.8588357,0.06305043,1.0,Double.KDKO vs Wildtype,Q0275
0.0,0.0,,,,,Double.KDKO vs Wildtype,Q0297
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN18-1
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN18-2
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN25-1
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN25-2
0.08647297,0.0,4.4073563,0.0,1.0,1.0,Double.KDKO vs Wildtype,RDN37-1
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN37-2
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN5-1
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN5-2
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN5-3
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN5-4
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN5-5
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN5-6
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN58-1
0.0,0.0,,,,,Double.KDKO vs Wildtype,RDN58-2
0.7826609,0.0,2.4815025,0.45134953,0.65173763,1.0,Double.KDKO vs Wildtype,RNA170
0.0,0.0,,,,,Double.KDKO vs Wildtype,RPM1
18.169935,0.0,0.67780834,-0.73681605,0.4612342,1.0,Double.KDKO vs Wildtype,RPR1
4.496071,0.0,0.88103676,0.50343376,0.6146593,1.0,Double.KDKO vs Wildtype,RUF20
0.4490442,0.0,3.2063384,0.69275457,0.48846358,1.0,Double.KDKO vs Wildtype,RUF21
0.0,0.0,,,,,Double.KDKO vs Wildtype,RUF22
0.46176222,0.0,2.9101348,0.06174963,0.9507622,1.0,Double.KDKO vs Wildtype,RUF23
0.0,0.0,,,,,Double.KDKO vs Wildtype,RUF5-1
0.0,0.0,,,,,Double.KDKO vs Wildtype,RUF5-2
61.367546,0.0,1.146898,-1.1198369,0.26278323,1.0,Double.KDKO vs Wildtype,SCR1
11.224186,0.0,0.64681375,-0.22215563,0.8241927,1.0,Double.KDKO vs Wildtype,snR10
3.7783065,0.0,0.97458786,-0.28504428,0.7756102,1.0,Double.KDKO vs Wildtype,snR11
3.3535497,0.0,1.1309788,-0.49758995,0.6187731,1.0,Double.KDKO vs Wildtype,snR128
0.26764926,0.0,4.330686,-0.17964622,0.85743034,1.0,Double.KDKO vs Wildtype,snR13
0.15504488,0.0,4.4015064,-0.19357106,0.8465118,1.0,Double.KDKO vs Wildtype,snR14
7.40291,0.0,0.7399555,-0.5279727,0.59751827,1.0,Double.KDKO vs Wildtype,snR161
14.079255,0.0,0.7402475,0.38239667,0.70216715,1.0,Double.KDKO vs Wildtype,snR17a
10.819705,0.0,0.79981583,-0.49159968,0.62300235,1.0,Double.KDKO vs Wildtype,snR17b
4.1013875,0.0,0.94098777,-0.5483008,0.58348536,1.0,Double.KDKO vs Wildtype,snR18
3.1001534,0.0,1.0384115,0.06366864,0.94923407,1.0,Double.KDKO vs Wildtype,snR189
2.6942303,0.0,1.1335151,-0.27604,0.7825174,1.0,Double.KDKO vs Wildtype,snR19
10.30868,0.0,0.9777934,0.07835812,0.9375432,1.0,Double.KDKO vs Wildtype,snR190
6.270913,0.0,0.68512976,-0.40156463,0.68800443,1.0,Double.KDKO vs Wildtype,snR191
30.43077,0.0,0.48386812,-0.80638266,0.42002225,1.0,Double.KDKO vs Wildtype,snR24
0.93341506,0.0,1.8990656,-0.34893057,0.72714144,1.0,Double.KDKO vs Wildtype,snR3
50.609573,0.0,0.44615063,0.04065951,0.9675673,1.0,Double.KDKO vs Wildtype,snR30
81.990715,0.0,0.40130758,0.40941074,0.6822383,1.0,Double.KDKO vs Wildtype,snR31
10.153621,0.0,0.6978372,-0.23474845,0.814404,1.0,Double.KDKO vs Wildtype,snR32
58.050983,0.0,0.62210417,0.9039139,0.36604103,1.0,Double.KDKO vs Wildtype,snR33
6.781682,0.0,0.7206812,1.2301867,0.21862721,1.0,Double.KDKO vs Wildtype,snR34
1.4737259,0.0,1.5294262,0.47509018,0.6347227,1.0,Double.KDKO vs Wildtype,snR35
9.396133,0.0,0.5721077,-0.35169852,0.72506434,1.0,Double.KDKO vs Wildtype,snR36
4.99328,0.0,0.8105563,-1.2370169,0.21608081,1.0,Double.KDKO vs Wildtype,snR37
6.236582,0.0,0.7218687,0.4676972,0.6400011,1.0,Double.KDKO vs Wildtype,snR38
14.848193,0.0,0.61908555,-0.2944119,0.76844317,1.0,Double.KDKO vs Wildtype,snR39
1.0383584,0.0,1.7292906,0.20500845,0.83756554,1.0,Double.KDKO vs Wildtype,snR39B
16.39198,0.0,0.8348523,-0.1255099,0.9001199,1.0,Double.KDKO vs Wildtype,snR4
2.3512414,0.0,1.0793327,0.444607,0.6566038,1.0,Double.KDKO vs Wildtype,snR40
61.10745,0.0,0.3795663,0.3006917,0.7636496,1.0,Double.KDKO vs Wildtype,snR41
6.84734,0.0,0.7371158,0.3359987,0.73687184,1.0,Double.KDKO vs Wildtype,snR42
11.978561,0.0,0.676709,0.49407932,0.62125015,1.0,Double.KDKO vs Wildtype,snR43
117.055695,0.0,0.29610133,-0.34054378,0.7334471,1.0,Double.KDKO vs Wildtype,snR44
0.41975188,0.0,3.845669,-0.27809936,0.78093606,1.0,Double.KDKO vs Wildtype,snR45
39.437645,0.0,0.46102607,-0.914219,0.36060175,1.0,Double.KDKO vs Wildtype,snR46
5.224598,0.0,0.7984858,-0.60257363,0.5467923,1.0,Double.KDKO vs Wildtype,snR47
